"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency","manual_weight"
"1","Max Gawn","MEL","RUC",131,717709,751400,-33691,14,139.9,138.86,9.3625,82.35,134.33,0.86,25,4.87,6.59,5,7.32,0
"2","Lachie Neale","BRI","MID",128,704025,721800,-17775,17,134.4,132.74,9.62,100,112.86,0.79,23.9,5,8,4.22,6.73,0
"3","Jake Lloyd","SYD","DEF",126,692843,656400,36443,17,122.2,121.18,8.82,100,125.4,0.94,21.82,4.59,8,4.68,8,0
"4","Brodie Grundy","COL","RUC",125,683574,648200,35374,17,120.6,128.85,7.9625,100,106,0.84,23.2,4.14,8,3.97,7.15,0
"5","Clayton Oliver","MEL","MID",120,658856,656700,2156,17,122.2,121.24,8.43,100,109.5,0.76,21.83,4.38,8,4.1,6.47,0
"6","Jack Steele","STK","MID",120,655913,658000,-2087,17,122.5,119.58,7.51,100,129.86,0.74,21.53,3.91,8,4.84,6.3,0
"7","Tom Mitchell","HAW","MID",118,645467,610000,35467,17,113.5,123.04,8.01,100,107.4,0.65,22.15,4.16,8,4.02,5.54,0
"8","Patrick Dangerfield","GEE","MID",117,642083,611900,30183,17,113.9,125.12,6.69,100,116.56,0.62,22.53,3.48,8,4.35,5.28,0
"9","Patrick Dangerfield","GEE","FWD",117,642083,611900,30183,17,113.9,125.12,6.69,100,116.56,0.62,22.53,3.48,8,4.35,5.28,0
"10","Christian Petracca","MEL","MID",117,641641,631400,10241,17,117.5,116.53,7.94,100,107.67,0.76,20.98,4.13,8,4.03,6.47,0
"11","Jack Macrae","WBD","MID",117,640023,650100,-10077,17,121,120.44,8.52,100,97.6,0.67,21.69,4.43,8,3.67,5.71,0
"12","Zach Merrett","ESS","MID",116,636786,620900,15886,16,115.6,114.56,8.68,94.12,127,0.69,20.63,4.51,7.53,4.73,5.88,0
"13","Matt Crouch","ADE","MID",115,629282,594700,34582,16,110.7,109.69,9.25,94.12,128.8,0.69,19.75,4.81,7.53,4.8,5.88,0
"14","Taylor Adams","COL","MID",113,620896,588800,32096,17,109.6,109.63,7.19,100,106.43,0.79,19.74,3.74,8,3.99,6.73,0
"15","Todd Goldstein","NME","RUC",113,618836,601700,17136,17,112,112.88,8.715,100,84,0.71,20.32,4.53,8,3.17,6.04,0
"16","Jarryd Lyons","BRI","MID",112,614422,604600,9822,17,112.5,109.58,7.74,100,98.71,0.74,19.73,4.02,8,3.71,6.3,0
"17","Nat Fyfe","FRE","MID",111,606918,608300,-1382,14,113.2,118.36,7.12,82.35,112.4,0.64,21.31,3.7,6.59,4.2,5.45,0
"18","Marcus Bontempelli","WBD","MID",111,606477,623900,-17423,17,116.1,112.68,6.74,100,112.8,0.61,20.29,3.51,8,4.22,5.2,0
"19","Luke Parker","SYD","MID",110,603976,571100,32876,17,106.3,105.29,7.57,100,109.8,0.71,18.96,3.94,8,4.11,6.04,0
"20","Josh Kelly","GWS","MID",110,602210,615600,-13390,14,114.6,113.57,7.39,82.35,107,0.71,20.45,3.84,6.59,4.01,6.04,0
"21","Mitch Duncan","GEE","MID",110,601327,556700,44627,16,103.6,107.75,6.56,94.12,110.56,0.75,19.4,3.41,7.53,4.14,6.39,0
"22","Andrew Gaff","WCE","MID",109,600297,570800,29497,17,106.2,104.94,8.48,100,114.83,0.61,18.9,4.41,8,4.29,5.2,0
"23","Sam Menegola","GEE","MID",109,599562,579000,20562,17,107.8,105.71,6.83,100,110.33,0.71,19.03,3.55,8,4.13,6.04,0
"24","Reilly O'Brien","ADE","RUC",109,596325,570800,25525,17,106.2,105.24,8.4525,100,111.6,0.59,18.95,4.39,8,4.17,5.02,0
"25","Travis Boak","POR","MID",108,593824,590400,3424,17,109.9,107.47,7.43,100,112.5,0.58,19.35,3.86,8,4.21,4.94,0
"26","Nic Naitanui","WCE","RUC",108,591764,593700,-1936,16,110.5,110.41,6.895,94.12,112.2,0.59,19.88,3.59,7.53,4.2,5.02,0
"27","Lachie Whitfield","GWS","DEF",108,590734,561600,29134,17,104.5,104.1,7.69,100,117.6,0.59,18.74,4,8,4.39,5.02,0
"28","Luke Ryan","FRE","DEF",108,590440,576500,13940,17,107.3,105.71,6.2,100,102.2,0.71,19.03,3.23,8,3.83,6.04,0
"29","Touk Miller","GCS","MID",107,587497,569200,18297,17,105.9,104.94,7.01,100,102.4,0.65,18.9,3.65,8,3.84,5.54,0
"30","Dustin Martin","RIC","MID",107,586908,541600,45308,16,100.8,112.89,7.12,94.12,108.67,0.5,20.33,3.7,7.53,4.07,4.26,0
"31","Dustin Martin","RIC","FWD",107,586908,541600,45308,16,100.8,112.89,7.12,94.12,108.67,0.5,20.33,3.7,7.53,4.07,4.26,0
"32","Rory Laird","ADE","DEF",107,586614,564800,21814,17,105.1,104.12,8.1,100,117.6,0.53,18.75,4.21,8,4.39,4.52,0
"33","Rory Laird","ADE","MID",107,586614,564800,21814,17,105.1,104.12,8.1,100,117.6,0.53,18.75,4.21,8,4.39,4.52,0
"34","Tom Rockliff","POR","MID",106,579699,573000,6699,14,106.6,106.12,7.39,82.35,122.67,0.62,19.11,3.84,6.59,4.58,5.28,0
"35","Rowan Marshall","STK","RUC",105,577345,557200,20145,17,103.7,105.64,8.3825,100,102.86,0.47,19.02,4.36,8,3.86,4,0
"36","Caleb Daniel","WBD","DEF",105,577198,545500,31698,17,101.5,103.44,6.51,100,118.8,0.56,18.63,3.39,8,4.44,4.77,0
"37","Patrick Cripps","CAR","MID",105,573667,523700,49967,17,97.5,112.58,6.99,100,81.6,0.47,20.27,3.64,8,3.08,4,0
"38","Cameron Guthrie","GEE","MID",104,572931,554700,18231,17,103.2,102.43,6.87,100,109.11,0.57,18.44,3.57,8,4.08,4.85,0
"39","Hugh Greenwood","GCS","MID",104,570430,567300,3130,17,105.6,104.59,6.22,100,111.8,0.53,18.83,3.24,8,4.18,4.52,0
"40","Stephen Coniglio","GWS","MID",104,568076,528900,39176,16,98.4,105.88,7.06,94.12,95.25,0.56,19.06,3.67,7.53,3.58,4.77,0
"41","Tom Liberatore","WBD","MID",103,564692,569900,-5208,15,106.1,104,6.7,88.24,115.8,0.56,18.73,3.49,7.06,4.33,4.77,0
"42","Sam Walsh","CAR","MID",103,564544,543300,21244,17,101.1,100.12,7.3,100,121.8,0.47,18.03,3.8,8,4.54,4,0
"43","Hugh McCluggage","BRI","MID",103,564103,545500,18603,17,101.5,102.16,6.68,100,105.43,0.53,18.4,3.47,8,3.95,4.52,0
"44","Tim English","WBD","RUC",103,564103,551200,12903,17,102.6,101.06,7.595,100,105,0.5,18.2,3.95,8,3.93,4.26,0
"45","Jed Anderson","NME","MID",103,563662,562300,1362,15,104.7,103.67,7,88.24,118.4,0.53,18.67,3.64,7.06,4.42,4.52,0
"46","Jordan Ridley","ESS","DEF",102,558071,547700,10371,17,101.9,100.94,5.91,100,97.17,0.59,18.18,3.08,8,3.65,5.02,0
"47","Lachie Hunter","WBD","MID",102,557335,618500,-61165,9,115.1,110.9,8.16,52.94,115.75,0.6,19.97,4.24,4.24,4.32,5.11,0
"48","Ollie Wines","POR","MID",102,557335,560600,-3265,15,104.3,103.24,7.07,88.24,107.67,0.53,18.59,3.68,7.06,4.03,4.52,0
"49","Jeremy Howe","COL","DEF",102,556894,517900,38994,4,120.5,119.5,6.83,23.53,120.5,0.75,21.52,3.55,1.89,4.5,6.39,0
"50","Tom Hawkins","GEE","FWD",101,554981,568600,-13619,17,105.8,105.43,3.97,100,101.89,0.57,18.98,2.07,8,3.82,4.85,0
"51","Tom Stewart","GEE","DEF",101,554098,538000,16098,14,100.1,100.06,6.16,82.35,110.33,0.67,18.02,3.21,6.59,4.13,5.71,0
"52","Andrew Brayshaw","FRE","MID",100,549831,544200,5631,17,101.3,99.71,6.63,100,91.8,0.53,17.95,3.45,8,3.45,4.52,0
"53","Rowan Marshall","STK","FWD",100,549831,557200,-7369,17,103.7,105.64,4.79,100,102.86,0.47,19.02,2.49,8,3.86,4,0
"54","Adam Saad","CAR","DEF",100,549537,526200,23337,17,97.9,96.94,6.24,100,96.33,0.59,17.46,3.25,8,3.62,5.02,0
"55","Scott Pendlebury","COL","MID",100,548360,592200,-43840,13,110.2,107.83,7.47,76.47,102.6,0.47,19.42,3.88,6.12,3.85,4,0
"56","Callum Mills","SYD","DEF",99,543063,544800,-1737,15,101.4,100.4,6.17,88.24,108,0.53,18.08,3.21,7.06,4.04,4.52,0
"57","Dylan Shiel","ESS","MID",99,542622,548000,-5378,15,102,101,7.65,88.24,97.17,0.47,18.19,3.98,7.06,3.65,4,0
"58","Steele Sidebottom","COL","MID",99,541739,588000,-46261,9,109.4,108.44,7.52,52.94,117,0.56,19.53,3.91,4.24,4.37,4.77,0
"59","Steele Sidebottom","COL","FWD",99,541739,588000,-46261,9,109.4,108.44,7.52,52.94,117,0.56,19.53,3.91,4.24,4.37,4.77,0
"60","Dayne Zorko","BRI","MID",98,537914,525800,12114,15,97.9,101.92,6.02,88.24,93,0.53,18.35,3.13,7.06,3.5,4.52,0
"61","Dayne Zorko","BRI","FWD",98,537914,525800,12114,15,97.9,101.92,6.02,88.24,93,0.53,18.35,3.13,7.06,3.5,4.52,0
"62","Adam Treloar","WBD","MID",98,535707,587600,-51893,8,109.4,110.23,8.54,47.06,86,0.6,19.85,4.44,3.77,3.24,5.11,0
"63","Jayden Short","RIC","DEF",97,534530,519300,15230,17,96.6,97.33,6.56,100,99.33,0.43,17.53,3.41,8,3.73,3.66,0
"64","Luke McDonald","NME","DEF",97,534235,512900,21335,17,95.5,94.47,6.74,100,114.8,0.41,17.01,3.51,8,4.29,3.5,0
"65","Steven May","MEL","DEF",97,534235,507900,26335,17,94.5,93.53,5.4,100,110.67,0.53,16.84,2.81,8,4.14,4.52,0
"66","Josh Dunkley","WBD","MID",97,534088,560200,-26112,11,104.3,113.24,5.86,64.71,109.6,0.42,20.39,3.05,5.18,4.1,3.58,0
"67","Josh Dunkley","WBD","FWD",97,534088,560200,-26112,11,104.3,113.24,5.86,64.71,109.6,0.42,20.39,3.05,5.18,4.1,3.58,0
"68","Jack Crisp","COL","DEF",97,533941,533200,741,17,99.2,97.16,6.07,100,108.29,0.42,17.5,3.16,8,4.05,3.58,0
"69","Brayden Maynard","COL","DEF",97,532764,549900,-17136,17,102.4,95.84,5.87,100,89.71,0.53,17.26,3.05,8,3.38,4.52,0
"70","Nick Haynes","GWS","DEF",96,528644,528400,244,17,98.4,97.35,5.36,100,81.8,0.53,17.53,2.79,8,3.09,4.52,0
"71","Trent Dumont","NME","MID",96,528056,543300,-15244,17,101.2,100.24,6.7,100,89.4,0.35,18.05,3.49,8,3.37,2.98,0
"72","Jy Simpkin","NME","MID",96,527762,499700,28062,17,93,92,6.74,100,86.6,0.53,16.57,3.51,8,3.27,4.52,0
"73","Tim Kelly","WCE","MID",96,526584,517400,9184,17,96.3,94.72,7.01,100,100,0.39,17.06,3.65,8,3.75,3.33,0
"74","Shaun Higgins","GEE","MID",96,526143,510400,15743,17,95,97.2,7.12,100,81,0.41,17.5,3.7,8,3.06,3.5,0
"75","David Mundy","FRE","MID",96,525113,502000,23113,16,93.4,96.4,6.06,94.12,104,0.44,17.36,3.15,7.53,3.9,3.75,0
"76","Michael Walters","FRE","MID",96,524525,531100,-6575,14,98.9,99.67,5.88,82.35,84.67,0.57,17.95,3.06,6.59,3.2,4.85,0
"77","Michael Walters","FRE","FWD",96,524525,531100,-6575,14,98.9,99.67,5.88,82.35,84.67,0.57,17.95,3.06,6.59,3.2,4.85,0
"78","Sam Docherty","CAR","DEF",96,524230,496000,28230,16,92.3,104.46,6.62,94.12,85,0.31,18.81,3.44,7.53,3.21,2.64,0
"79","Bailey Smith","WBD","MID",95,522759,494600,28159,17,92.1,90.89,6.85,100,88.6,0.5,16.37,3.56,8,3.34,4.26,0
"80","Harry Perryman","GWS","MID",95,521729,505000,16729,16,94,93,6.16,94.12,98.75,0.5,16.75,3.21,7.53,3.71,4.26,0
"81","Jack Viney","MEL","MID",95,521141,534900,-13759,16,99.6,98.56,6.7,94.12,90.6,0.38,17.75,3.49,7.53,3.41,3.24,0
"82","Josh P. Kennedy","SYD","MID",95,519522,513500,6022,12,95.6,102.63,7.06,70.59,105,0.42,18.48,3.67,5.65,3.93,3.58,0
"83","Ed Curnow","CAR","MID",94,517609,512600,5009,17,95.4,95.48,6.69,100,93.8,0.35,17.19,3.48,8,3.53,2.98,0
"84","Luke Shuey","WCE","MID",93,510106,508600,1506,12,94.7,99.19,6.61,70.59,82.67,0.54,17.86,3.44,5.65,3.12,4.6,0
"85","Shannon Hurn","WCE","DEF",93,509811,477800,32011,16,88.9,99.74,5.57,94.12,101,0.29,17.96,2.9,7.53,3.79,2.47,0
"86","Robbie Gray","POR","FWD",93,509223,491100,18123,17,91.4,95.3,5.37,100,104.67,0.32,17.16,2.8,8,3.92,2.73,0
"87","Mark Blicavs","GEE","DEF",93,508634,531600,-22966,17,98.9,95.62,4.03,100,95.56,0.43,17.22,2.1,8,3.59,3.66,0
"88","Mark Blicavs","GEE","MID",93,508634,531600,-22966,17,98.9,95.62,4.03,100,95.56,0.43,17.22,2.1,8,3.59,3.66,0
"89","Elliot Yeo","WCE","MID",92,505692,483000,22692,10,89.9,102.88,6.71,58.82,89.9,0.5,18.52,3.49,4.71,3.39,4.26,0
"90","Jacob Hopper","GWS","MID",92,504220,488600,15620,17,90.9,93.2,6.44,100,97.8,0.29,16.78,3.35,8,3.67,2.47,0
"91","Marc Murphy","CAR","MID",92,502602,444700,57902,17,82.8,98.88,6.55,100,76.6,0.24,17.8,3.41,8,2.9,2.05,0
"92","Jarrod Witts","GCS","RUC",92,502161,501600,561,17,93.4,95.62,6.16,100,85.6,0.29,17.22,3.21,8,3.23,2.47,0
"93","James Sicily","HAW","DEF",91,500984,552900,-51916,11,102.9,101.18,5.66,64.71,102.9,0.45,18.22,2.95,5.18,3.86,3.84,0
"94","Andrew McGrath","ESS","MID",91,499512,510000,-10488,14,94.9,93.93,7.32,82.35,78.67,0.43,16.91,3.81,6.59,2.98,3.66,0
"95","Dan Houston","POR","DEF",90,496128,489300,6828,15,91.1,90.53,5.58,88.24,105.75,0.41,16.3,2.9,7.06,3.96,3.5,0
"96","Jack Billings","STK","MID",90,495981,514800,-18819,17,95.8,92.42,6.35,100,80.29,0.32,16.64,3.3,8,3.04,2.73,0
"97","Brad Sheppard","WCE","DEF",90,492891,492700,191,17,91.7,88.89,5.55,100,86.83,0.39,16.01,2.89,8,3.27,3.33,0
"98","Devon Smith","ESS","MID",90,492450,458000,34450,16,85.2,92.33,6.01,94.12,94.2,0.31,16.63,3.13,7.53,3.54,2.64,0
"99","Joel Selwood","GEE","MID",90,491567,445000,46567,11,82.8,105.08,5.54,64.71,96.2,0.33,18.92,2.88,5.18,3.61,2.82,0
"100","Will Setterfield","CAR","MID",89,490537,481900,8637,16,89.7,88.69,5.42,94.12,100.75,0.38,15.97,2.82,7.53,3.78,3.24,0
"101","Christian Salem","MEL","DEF",89,490096,469100,20996,16,87.3,87.45,6.34,94.12,92.67,0.38,15.75,3.3,7.53,3.49,3.24,0
"102","Scott Lycett","POR","RUC",89,489654,520700,-31046,13,96.9,98.39,6.23,76.47,89.67,0.33,17.72,3.24,6.12,3.38,2.82,0
"103","Ed Langdon","MEL","MID",89,488919,487300,1619,17,90.7,89.71,6.77,100,93.33,0.24,16.15,3.52,8,3.51,2.05,0
"104","Adam Cerra","FRE","MID",89,488919,484800,4119,17,90.2,88.76,5.79,100,100.6,0.29,15.98,3.01,8,3.77,2.47,0
"105","Daniel Rich","BRI","DEF",89,488330,483100,5230,13,89.9,92.46,6.11,76.47,118.25,0.33,16.65,3.18,6.12,4.42,2.82,0
"106","Brad Crouch","STK","MID",88,480826,448600,32226,12,83.5,95.12,7.79,70.59,80,0.33,17.13,4.05,5.65,3.03,2.82,0
"107","Sebastian Ross","STK","MID",87,478472,417900,60572,14,77.8,99.13,6.13,82.35,86.4,0.19,17.85,3.19,6.59,3.26,1.63,0
"108","Dom Sheed","WCE","MID",87,475824,478500,-2676,16,89.1,88.96,6.9,94.12,71.8,0.29,16.02,3.59,7.53,2.73,2.47,0
"109","James Worpel","HAW","MID",87,475677,474200,1477,15,88.3,95.71,6.08,88.24,84,0.2,17.23,3.16,7.06,3.17,1.71,0
"110","Ben McEvoy","HAW","RUC",87,475235,456000,19235,16,84.9,94.79,4.9,94.12,79.75,0.25,17.07,2.55,7.53,3.02,2.13,0
"111","Rhys Stanley","GEE","RUC",87,474941,551900,-76959,7,102.7,97.45,7.2275,41.18,102.17,0.45,17.55,3.76,3.3,3.83,3.84,0
"112","Jarrod Berry","BRI","MID",87,474647,521500,-46853,15,97.1,89.76,5.7,88.24,81.8,0.35,16.16,2.97,7.06,3.09,2.98,0
"113","Jaeger O'Meara","HAW","MID",86,474500,488000,-13500,12,90.8,89.5,6.62,70.59,92,0.42,16.12,3.44,5.65,3.46,3.58,0
"114","Rory Sloane","ADE","MID",86,471410,471900,-490,12,87.8,104.19,5.6,70.59,86.33,0.17,18.76,2.91,5.65,3.26,1.46,0
"115","Nick Vlastuin","RIC","DEF",86,470969,483500,-12531,16,90,88.62,4.7,94.12,81.89,0.35,15.96,2.45,7.53,3.09,2.98,0
"116","Zak Jones","STK","MID",86,470527,494700,-24173,14,92.1,87.25,6.5,82.35,81,0.38,15.71,3.38,6.59,3.06,3.24,0
"117","Bachar Houli","RIC","DEF",86,470233,465600,4633,9,86.7,105.17,6.41,52.94,74,0.31,18.94,3.33,4.24,2.81,2.64,0
"118","Jordan Dawson","SYD","DEF",86,469939,485700,-15761,16,85.4,84.38,5.55,94.12,98,0.31,15.2,2.89,7.53,3.68,2.64,0
"119","Tim Taranto","GWS","MID",86,469497,453700,15797,11,84.5,100.57,6.46,64.71,77.8,0.27,18.11,3.36,5.18,2.95,2.31,0
"120","Zac Williams","CAR","DEF",85,468320,458600,9720,11,85.4,98.62,5.66,64.71,75.75,0.36,17.76,2.95,5.18,2.87,3.07,0
"121","Darcy Parish","ESS","MID",85,467143,465800,1343,17,86.7,85.71,6.34,100,92.5,0.18,15.43,3.3,8,3.48,1.54,0
"122","Brodie Smith","ADE","DEF",85,466996,438200,28796,16,81.6,84.92,6.08,94.12,82.5,0.31,15.29,3.16,7.53,3.12,2.64,0
"123","Brodie Smith","ADE","MID",85,466996,438200,28796,16,81.6,84.92,6.08,94.12,82.5,0.31,15.29,3.16,7.53,3.12,2.64,0
"124","Lachie Weller","GCS","MID",85,466996,436500,30496,17,81.2,84.32,5.92,100,79.6,0.29,15.18,3.08,8,3.01,2.47,0
"125","Robbie Tarrant","NME","DEF",85,465083,463100,1983,16,86.2,85.19,5.21,94.12,90,0.31,15.34,2.71,7.53,3.39,2.64,0
"126","Liam Duggan","WCE","DEF",84,462435,448600,13835,16,83.5,82.29,5.77,94.12,96,0.29,14.82,3,7.53,3.61,2.47,0
"127","Trent Cotchin","RIC","MID",84,460375,443500,16875,13,82.5,94.29,6.3,76.47,75.5,0.24,16.98,3.28,6.12,2.86,2.05,0
"128","Dane Rampe","SYD","DEF",84,459934,492300,-32366,11,91.6,94.19,5,64.71,91.6,0.36,16.96,2.6,5.18,3.45,3.07,0
"129","Shai Bolton","RIC","MID",84,459934,462400,-2466,15,86.1,84.84,5.46,88.24,88.88,0.32,15.28,2.84,7.06,3.35,2.73,0
"130","Shai Bolton","RIC","FWD",84,459934,462400,-2466,15,86.1,84.84,5.46,88.24,88.88,0.32,15.28,2.84,7.06,3.35,2.73,0
"131","Ben McEvoy","HAW","DEF",84,459198,456000,3198,16,84.9,94.79,2.8,94.12,79.75,0.25,17.07,1.46,7.53,3.02,2.13,0
"132","Liam Ryan","WCE","FWD",84,459198,409600,49598,17,76.2,77.33,3.76,100,106.5,0.39,13.93,1.96,8,3.99,3.33,0
"133","Rory Lobb","FRE","RUC",84,458610,415000,43610,17,77.2,84.07,5.9325,100,76.2,0.24,15.14,3.09,8,2.89,2.05,0
"134","Darcy Byrne-Jones","POR","DEF",84,458168,441800,16368,17,82.2,87,5.47,100,86.17,0.16,15.67,2.85,8,3.25,1.37,0
"135","Trent McKenzie","POR","DEF",83,457138,388300,68838,15,72.3,107,3.75,88.24,72.83,0,19.27,1.96,7.06,2.77,0.01,0
"136","Charlie Dixon","POR","FWD",83,456108,498700,-42592,16,92.8,87.39,3.06,94.12,87.83,0.33,15.74,1.6,7.53,3.31,2.82,0
"137","Oscar McInerney","BRI","RUC",83,455961,443400,12561,17,82.5,82.21,5.4775,100,82.71,0.26,14.8,2.85,8,3.12,2.22,0
"138","Zak Butters","POR","FWD",83,455078,471400,-16322,15,87.7,84.82,4.73,88.24,83.75,0.35,15.27,2.46,7.06,3.16,2.98,0
"139","Chad Wingard","HAW","FWD",83,454931,452300,2631,17,84.2,83.18,4.67,100,80.4,0.29,14.98,2.43,8,3.04,2.47,0
"140","Bailey Williams","WBD","DEF",83,454784,452600,2184,17,84.2,84.39,5.34,100,80.8,0.22,15.2,2.78,8,3.05,1.88,0
"141","Angus Brayshaw","MEL","MID",83,453313,435200,18113,14,81,91.79,5.61,82.35,78.33,0.21,16.53,2.92,6.59,2.97,1.8,0
"142","Jared Polec","NME","MID",83,453166,477800,-24634,13,88.9,87.92,6.41,76.47,94.5,0.23,15.83,3.33,6.12,3.55,1.97,0
"143","Liam Shiels","HAW","MID",83,452871,420100,32771,16,78.2,84.84,5.68,94.12,76,0.25,15.28,2.96,7.53,2.88,2.13,0
"144","Mitch Robinson","BRI","MID",82,449929,418800,31129,17,77.9,90.67,4.91,100,72.14,0.11,16.33,2.56,8,2.74,0.95,0
"145","Jack Gunston","HAW","FWD",82,449487,438200,11287,16,81.6,88.8,3.57,94.12,94.25,0.19,15.99,1.86,7.53,3.54,1.63,0
"146","Toby Nankervis","RIC","RUC",82,449340,442900,6440,7,82.4,92.91,6.9125,41.18,102.4,0.36,16.73,3.6,3.3,3.84,3.07,0
"147","Toby Greene","GWS","FWD",82,448163,448400,-237,13,83.5,92.19,5.31,76.47,61,0.31,16.6,2.76,6.12,2.34,2.64,0
"148","Brandon Ellis","GCS","MID",82,447428,450600,-3172,16,83.9,82.88,6.42,94.12,78.8,0.19,14.93,3.34,7.53,2.98,1.63,0
"149","Kane Lambert","RIC","FWD",82,447280,445900,1380,16,83,83.24,5.38,94.12,78,0.25,14.99,2.8,7.53,2.95,2.13,0
"150","Hunter Clark","STK","DEF",81,446986,438900,8086,16,81.7,80.28,5.89,94.12,77.33,0.28,14.46,3.07,7.53,2.93,2.39,0
"151","Ben Keays","ADE","MID",81,446692,436200,10492,16,81.2,80.19,5.86,94.12,85.2,0.25,14.44,3.05,7.53,3.21,2.13,0
"152","Jack Bowes","GCS","DEF",81,445368,451300,-5932,17,84,83,5.98,100,70.2,0.18,14.95,3.11,8,2.67,1.54,0
"153","David Swallow","GCS","MID",81,445368,438400,6968,15,81.6,86.12,6.31,88.24,87.75,0.13,15.51,3.28,7.06,3.31,1.11,0
"154","Hamish Hartlett","POR","DEF",81,444338,421900,22438,17,78.5,86.42,4.79,100,73.17,0.16,15.56,2.49,8,2.78,1.37,0
"155","Sam Petrevski-Seton","CAR","DEF",81,444044,401400,42644,16,74.7,80.17,4.82,94.12,81,0.31,14.44,2.51,7.53,3.06,2.64,0
"156","Harris Andrews","BRI","DEF",81,443602,469700,-26098,14,87.4,86.56,3.82,82.35,88.75,0.31,15.59,1.99,6.59,3.34,2.64,0
"157","Jack Darling","WCE","FWD",81,443308,434900,8408,17,80.9,82.31,3.28,100,85,0.28,14.82,1.71,8,3.21,2.39,0
"158","Jeremy Cameron","GEE","FWD",81,443308,388100,55208,17,72.2,88,3.47,100,77.4,0.18,15.85,1.81,8,2.93,1.54,0
"159","Alex Witherden","WCE","DEF",81,442866,456100,-13234,6,94.3,93.33,6.86,35.29,69,0.5,16.81,3.57,2.83,2.63,4.26,0
"160","Tom Doedee","ADE","DEF",81,441837,457900,-16063,9,85.2,84.22,5.07,52.94,85.2,0.56,15.17,2.64,4.24,3.21,4.77,0
"161","Kyle Langford","ESS","MID",81,441689,436900,4789,16,81.3,80.31,5.95,94.12,87.67,0.19,14.46,3.1,7.53,3.3,1.63,0
"162","Kyle Langford","ESS","FWD",81,441689,436900,4789,16,81.3,80.31,5.95,94.12,87.67,0.19,14.46,3.1,7.53,3.3,1.63,0
"163","Tom Barrass","WCE","DEF",80,440660,447200,-6540,17,83.2,80.22,3.51,100,87,0.28,14.45,1.83,8,3.28,2.39,0
"164","Jack Lukosius","GCS","DEF",80,439630,430800,8830,17,80.2,79.18,5.73,100,68,0.24,14.26,2.98,8,2.59,2.05,0
"165","Rory Lobb","FRE","FWD",80,439188,415000,24188,17,77.2,84.07,3.39,100,76.2,0.24,15.14,1.77,8,2.89,2.05,0
"166","Jason Johannisen","WBD","DEF",80,438453,448300,-9847,16,83.4,81.71,5.07,94.12,75.75,0.24,14.71,2.64,7.53,2.87,2.05,0
