,Name,Team,Position,proj_score,proj_salary,Price,value,2020_Games,2020_Average,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,manual_weight,updated_proj
333,Tom Green,GWS,MID,66,356480,351400,5080,6,72.7,71.67,5.08,35.29,72.7,0.17,10.33,6.87,2.83,4.41,0.91,0,66
334,Nathan Jones,MEL,MID,66,354792,292100,62692,8,54.4,91.11,4.38,47.06,38,0,13.13,5.92,3.77,2.4,0.01,0,66
335,Nathan Jones,MEL,FWD,66,354792,292100,62692,8,54.4,91.11,4.38,47.06,38,0,13.13,5.92,3.77,2.4,0.01,0,66
336,Lachlan Keeffe,GWS,DEF,66,354089,372800,-18711,13,69.4,68.38,2.99,76.47,78.2,0.08,9.85,4.05,6.12,4.73,0.43,0,66
337,Josh Battle,STK,MID,66,354089,362900,-8811,13,67.5,69.29,3.47,76.47,59.17,0.14,9.98,4.7,6.12,3.63,0.75,0,66
338,Josh Battle,STK,FWD,66,354089,362900,-8811,13,67.5,69.29,3.47,76.47,59.17,0.14,9.98,4.7,6.12,3.63,0.75,0,66
339,David Cuningham,CAR,FWD,66,352964,340700,12264,12,63.4,63.44,4.09,70.59,63.4,0.17,9.14,5.53,5.65,3.87,0.91,0,66
340,Andrew McPherson,ADE,DEF,66,352823,368300,-15477,9,68.6,67.56,4.48,52.94,83.5,0,9.74,6.06,4.24,5.04,0.01,0,66
341,Dyson Heppell,ESS,MID,66,352823,319100,33723,3,66,94.96,4.41,17.65,66,0,13.68,5.96,1.42,4.02,0.01,14,80
342,Steven Motlop,POR,FWD,66,352683,308500,44183,12,57.4,64.71,3.42,70.59,78,0.14,9.33,4.63,5.65,4.72,0.75,0,66
343,Will Hayward,SYD,FWD,65,351698,327100,24598,16,60.9,59.88,3.44,94.12,63.2,0.06,8.63,4.66,7.53,3.86,0.33,0,65
344,Jack Madgen,COL,DEF,65,351277,380500,-29223,11,70.8,67.15,3.79,64.71,68.71,0.15,9.68,5.13,5.18,4.18,0.81,0,65
345,Jed Bews,GEE,DEF,65,351277,341800,9477,16,63.6,59.9,3.51,94.12,62,0.05,8.63,4.75,7.53,3.79,0.28,0,65
346,Wayne Milera,ADE,DEF,65,350995,312200,38795,2,83,82,5.31,11.76,83,0,11.81,7.18,0.95,5.01,0.01,10,75
347,Sam Mayes,POR,DEF,65,350714,342500,8214,6,70.8,69.83,4.43,35.29,70.8,0.33,10.06,5.99,2.83,4.3,1.76,0,65
348,Zac Fisher,CAR,FWD,65,350714,394200,-43486,8,73.4,72.38,4.76,47.06,59.5,0.12,10.43,6.44,3.77,3.65,0.65,0,65
349,Nick Blakey,SYD,MID,65,350292,318700,31592,16,59.3,58.31,3.46,94.12,65,0.06,8.4,4.68,7.53,3.97,0.33,0,65
350,Nick Blakey,SYD,FWD,65,350292,318700,31592,16,59.3,58.31,3.46,94.12,65,0.06,8.4,4.68,7.53,3.97,0.33,0,65
351,Sam Day,GCS,FWD,65,350011,298300,51711,17,55.5,65.1,3.03,100,49.8,0.06,9.38,4.1,8,3.08,0.33,0,65
352,Josh Caddy,RIC,MID,65,349308,335100,14208,8,62.4,79.17,4.31,47.06,62.4,0,11.41,5.83,3.77,3.82,0.01,0,65
353,Tom Cole,WCE,DEF,65,349027,364600,-15573,14,67.9,65.27,3.66,82.35,63.17,0,9.41,4.95,6.59,3.86,0.01,0,65
354,Elliott Himmelberg,ADE,FWD,65,348745,358000,-9255,11,66.6,65.64,3.41,64.71,83.8,0.09,9.46,4.61,5.18,5.06,0.49,0,65
355,Josh Walker,NME,DEF,65,348183,329600,18583,17,61.4,60.35,3.57,100,46.6,0.06,8.7,4.83,8,2.9,0.33,0,65
356,Jordan De Goey,COL,FWD,65,348183,435200,-87017,8,81,79.67,4.26,47.06,52,0.1,11.48,5.76,3.77,3.21,0.54,0,65
357,Andrew Phillips,ESS,RUC,65,348183,353000,-4817,5,73,72,4.0425,29.41,73,0.4,10.37,5.47,2.36,4.43,2.13,0,65
358,Jake Melksham,MEL,FWD,65,348042,296800,51242,17,55.2,65.13,3.17,100,49.5,0,9.39,4.29,8,3.06,0.01,0,65
359,Taylor Walker,ADE,FWD,65,347198,298200,48998,14,55.5,76,2.65,82.35,51.5,0.07,10.95,3.59,6.59,3.18,0.38,0,65
360,Tim O'Brien,HAW,FWD,65,346777,297500,49277,16,55.4,69.33,2.3,94.12,65.8,0,9.99,3.12,7.53,4.01,0.01,0,65
361,Brendon Ah Chee,WCE,FWD,64,346355,310200,36155,15,57.7,67,3.38,88.24,54,0,9.66,4.57,7.06,3.33,0.01,0,64
362,Cameron Zurhaar,NME,FWD,64,345652,337800,7852,16,62.9,62.81,3.25,94.12,53,0.06,9.05,4.4,7.53,3.27,0.33,0,64
363,Alex Keath,WBD,DEF,64,345230,323900,21330,17,60.3,58.83,3.21,100,55.2,0.06,8.48,4.34,8,3.4,0.33,0,64
364,Lachie Ash,GWS,DEF,64,345089,320600,24489,12,59.7,58.67,3.8,70.59,87.5,0,8.46,5.14,5.65,5.28,0.01,0,64
365,Brayden Fiorini,GCS,MID,64,344245,301700,42545,5,62.4,84.13,4.56,29.41,62.4,0,12.12,6.17,2.36,3.82,0.01,0,64
366,Alex Sexton,GCS,FWD,64,344105,330000,14105,14,61.4,60.43,3.28,82.35,71.67,0.07,8.71,4.44,6.59,4.35,0.38,0,64
367,Adam Tomlinson,MEL,DEF,64,343824,324000,19824,13,60.3,59.31,4.2,76.47,67.17,0,8.55,5.68,6.12,4.09,0.01,0,64
368,Adam Tomlinson,MEL,MID,64,343824,324000,19824,13,60.3,59.31,4.2,76.47,67.17,0,8.55,5.68,6.12,4.09,0.01,0,64
369,Sam Draper,ESS,RUC,64,343402,378100,-34698,8,70.4,69.38,4.7775,47.06,57.75,0.12,10,6.46,3.77,3.54,0.65,0,64
370,Sam Simpson,GEE,FWD,64,342558,350600,-8042,6,72.5,72.78,4.47,35.29,72.5,0.11,10.49,6.05,2.83,4.4,0.59,0,64
371,Nathan Broad,RIC,DEF,64,341292,349200,-7908,13,65,63.25,3.77,76.47,58.75,0.06,9.12,5.1,6.12,3.6,0.33,0,64
372,Jye Caldwell,ESS,MID,64,341292,348600,-7308,9,64.9,63.89,4.24,52.94,84,0,9.21,5.74,4.24,5.07,0.01,5,69
373,Jye Caldwell,ESS,FWD,64,341292,348600,-7308,9,64.9,63.89,4.24,52.94,84,0,9.21,5.74,4.24,5.07,0.01,5,69
374,Darcy Tucker,FRE,MID,63,339464,347900,-8436,8,64.8,70.04,4.67,47.06,64.8,0,10.09,6.32,3.77,3.95,0.01,0,63
375,Daniel Talia,ADE,DEF,63,339324,354600,-15276,14,66,67.77,3.14,82.35,44.5,0.14,9.77,4.25,6.59,2.77,0.75,0,63
376,Michael Hartley,HAW,DEF,63,339042,317800,21242,2,84.5,83.5,4.45,11.76,84.5,0,12.03,6.02,0.95,5.1,0.01,0,63
377,Brandon Starcevich,BRI,DEF,63,339042,307300,31742,16,57.2,55.67,3.34,94.12,60.67,0.06,8.02,4.52,7.53,3.71,0.33,0,63
378,Lachlan Sholl,ADE,DEF,63,338902,343200,-4298,8,63.9,62.88,4.65,47.06,71.2,0.12,9.06,6.29,3.77,4.33,0.65,0,63
379,Lachlan Sholl,ADE,MID,63,338902,343200,-4298,8,63.9,62.88,4.65,47.06,71.2,0.12,9.06,6.29,3.77,4.33,0.65,0,63
380,Tom Williamson,CAR,DEF,63,338339,313400,24939,15,58.3,57.33,3.75,88.24,59.8,0,8.26,5.07,7.06,3.66,0.01,0,63
381,Daniel Lloyd,GWS,FWD,63,338058,330900,7158,12,61.6,60.58,3.43,70.59,75.67,0.08,8.73,4.64,5.65,4.59,0.43,0,63
382,Josh Jenkins,GEE,FWD,63,337917,323400,14517,1,86,85,4.51,5.88,86,0,12.25,6.1,0.48,5.19,0.01,0,63
383,Charlie Ballard,GCS,DEF,63,337495,307600,29895,16,57.2,58.91,3.46,94.12,53.4,0,8.49,4.68,7.53,3.29,0.01,0,63
384,Josh Thomas,COL,FWD,63,336371,305800,30571,12,56.9,70.21,3.36,70.59,58.57,0,10.12,4.55,5.65,3.59,0.01,0,63
385,Ed Richards,WBD,MID,63,336089,309300,26789,16,57.6,56.71,3.47,94.12,56.8,0,8.17,4.7,7.53,3.49,0.01,0,63
386,Ed Richards,WBD,FWD,63,336089,309300,26789,16,57.6,56.71,3.47,94.12,56.8,0,8.17,4.7,7.53,3.49,0.01,0,63
387,Esava Ratugolea,GEE,FWD,63,336089,369400,-33311,12,68.8,68.33,2.79,70.59,68.8,0.08,9.85,3.78,5.65,4.19,0.43,0,63
388,Cale Hooker,ESS,DEF,63,335949,372700,-36751,8,69.4,75.71,3.68,47.06,69.4,0,10.91,4.98,3.77,4.22,0.01,0,63
389,Nick Holman,GCS,FWD,62,335667,328600,7067,12,61.2,64.25,3.53,70.59,61.2,0.08,9.26,4.78,5.65,3.75,0.43,0,62
390,Bailey Scott,NME,MID,62,335105,332300,2805,13,61.8,60.85,3.54,76.47,60.8,0.08,8.77,4.79,6.12,3.72,0.43,0,62
391,Bailey Scott,NME,FWD,62,335105,332300,2805,13,61.8,60.85,3.54,76.47,60.8,0.08,8.77,4.79,6.12,3.72,0.43,0,62
392,Tom Cutler,ESS,MID,62,332996,364700,-31704,8,67.9,66.88,4.55,47.06,67.5,0,9.64,6.15,3.77,4.11,0.01,0,62
393,Brayden Sier,COL,MID,62,332855,313800,19055,3,73,72,5.5,17.65,73,0,10.37,7.44,1.42,4.43,0.01,0,62
394,Martin Gleeson,ESS,DEF,62,332574,293400,39174,13,54.6,68.33,3.56,76.47,45.8,0,9.85,4.82,6.12,2.85,0.01,0,62
395,Sydney Stack,RIC,MID,62,332152,277600,54552,9,51.7,77.12,3.52,52.94,57,0,11.11,4.76,4.24,3.5,0.01,0,62
396,Sydney Stack,RIC,FWD,62,332152,277600,54552,9,51.7,77.12,3.52,52.94,57,0,11.11,4.76,4.24,3.5,0.01,0,62
397,Charlie Constable,GEE,MID,61,330042,266500,63542,2,62,77,5.64,11.76,62,0,11.09,7.63,0.95,3.79,0.01,0,61
398,Jaidyn Stephenson,NME,FWD,61,329480,354100,-24620,12,65.9,77.29,2.99,70.59,41.25,0,11.14,4.05,5.65,2.58,0.01,0,61
399,Matt Guelfi,ESS,DEF,61,329199,324300,4899,11,60.4,59.36,4.18,64.71,65.67,0,8.56,5.65,5.18,4.01,0.01,0,61
400,Quinton Narkle,GEE,MID,61,329199,310400,18799,5,64.2,77,3.67,29.41,64.2,0.2,11.09,4.97,2.36,3.92,1.07,0,61
401,Tyson Stengle,ADE,FWD,61,328355,305300,23055,12,56.8,59,3.45,70.59,67.25,0.08,8.5,4.67,5.65,4.1,0.43,0,61
402,Jordan Roughead,COL,DEF,61,326949,311300,15649,15,57.9,59.73,2.95,88.24,58.33,0,8.61,3.99,7.06,3.58,0.01,0,61
403,Harry McKay,CAR,FWD,61,326949,319900,7049,13,59.5,61.53,2.65,76.47,77,0,8.87,3.59,6.12,4.66,0.01,0,61
404,Griffin Logue,FRE,DEF,61,325683,339400,-13717,5,70.2,69.2,3.27,29.41,70.2,0.4,9.97,4.43,2.36,4.27,2.13,0,61
405,Max King,STK,FWD,61,325683,327400,-1717,16,60.9,60.11,2.6,94.12,56,0,8.66,3.52,7.53,3.44,0.01,0,61
406,Riley Bonner,POR,DEF,60,324699,318200,6499,9,59.2,67.67,4.39,52.94,51,0,9.75,5.94,4.24,3.15,0.01,0,60
407,James Frawley,STK,DEF,60,324418,295900,28518,14,55.1,62.36,2.77,82.35,61,0,8.99,3.75,6.59,3.73,0.01,0,60
408,Jake Aarts,RIC,FWD,60,323714,329400,-5686,13,61.3,59.64,3.32,76.47,62.17,0,8.6,4.49,6.12,3.8,0.01,0,60
409,Jake Kolodjashnij,GEE,DEF,60,323152,330200,-7048,13,61.5,58.65,3.35,76.47,57.88,0.06,8.45,4.53,6.12,3.55,0.33,0,60
410,Jarrod Lienert,POR,DEF,60,322730,289200,33530,5,59.8,79.14,4.08,29.41,59.8,0,11.4,5.52,2.36,3.66,0.01,0,60
411,Jackson Hately,ADE,MID,60,322730,310300,12430,6,64.2,63.17,4.58,35.29,64.2,0.17,9.1,6.19,2.83,3.92,0.91,10,70
412,Dylan Stephens,SYD,MID,60,321746,337800,-16054,8,62.9,61.88,4.27,47.06,72.5,0,8.92,5.78,3.77,4.4,0.01,0,60
413,Easton Wood,WBD,DEF,60,321605,297700,23905,12,55.4,71.04,3.08,70.59,37.67,0.08,10.24,4.17,5.65,2.38,0.43,0,60
414,Sam Frost,HAW,DEF,60,321043,304900,16143,16,56.8,55.5,3.26,94.12,46.25,0,8,4.41,7.53,2.88,0.01,0,60
415,Phil Davis,GWS,DEF,60,320339,290700,29639,10,54.1,72.14,2.81,58.82,54.1,0.1,10.4,3.8,4.71,3.33,0.54,0,60
416,Connor Blakely,FRE,MID,60,320339,295000,25339,5,61,80.18,5,29.41,33,0,11.55,6.76,2.36,2.1,0.01,0,60
417,Tom Atkins,GEE,FWD,59,319355,293500,25855,11,54.6,61.12,3.14,64.71,73.4,0,8.81,4.25,5.18,4.46,0.01,0,59
418,Jack Ziebell,NME,FWD,59,319355,257900,61455,8,48,86.04,2.62,47.06,48,0,12.4,3.55,3.77,2.98,0.01,15,74
419,Eddie Betts,CAR,FWD,59,319214,308800,10414,15,57.5,56.47,3.15,88.24,46,0.07,8.14,4.26,7.06,2.86,0.38,0,59
420,Aaron Francis,ESS,DEF,59,318371,320300,-1929,8,59.6,74.8,3.27,47.06,59.6,0,10.78,4.43,3.77,3.65,0.01,0,59
421,Ben King,GCS,FWD,59,318371,298700,19671,17,55.6,54.59,2.49,100,49.6,0.06,7.87,3.37,8,3.07,0.33,0,59
422,Lachlan Murphy,ADE,FWD,59,317949,328600,-10651,12,61.2,60.17,3.27,70.59,63,0,8.67,4.43,5.65,3.85,0.01,0,59
423,Tom McCartin,SYD,FWD,59,317808,312800,5008,14,58.2,57.21,2.9,82.35,62.4,0,8.25,3.93,6.59,3.82,0.01,0,59
424,Dean Kent,STK,FWD,59,317105,335200,-18095,13,62.4,60.69,3.24,76.47,41.33,0.13,8.75,4.39,6.12,2.59,0.7,0,59
425,Daniel McStay,BRI,FWD,59,315136,333800,-18664,15,62.1,57.41,2.65,88.24,51.17,0.06,8.27,3.59,7.06,3.16,0.33,0,59
426,Lin Jong,WBD,MID,59,314996,318100,-3104,3,74,73,4.41,17.65,74,0,10.52,5.96,1.42,4.49,0.01,0,59
427,Lin Jong,WBD,FWD,59,314996,318100,-3104,3,74,73,4.41,17.65,74,0,10.52,5.96,1.42,4.49,0.01,0,59
428,Tom De Koning,CAR,RUC,59,314996,305500,9496,7,56.9,55.86,4.795,41.18,62.5,0.14,8.05,6.48,3.3,3.82,0.75,0,59
429,Jack Lonie,STK,FWD,58,313449,351200,-37751,11,65.4,62.38,3.45,64.71,56,0,8.99,4.67,5.18,3.44,0.01,0,58
430,Josh Bruce,WBD,FWD,58,312746,275000,37746,16,51.2,50.18,2.58,94.12,59.75,0.06,7.23,3.49,7.53,3.66,0.33,0,58
431,Lachie Fogarty,CAR,FWD,58,311340,319100,-7760,6,66,65,4.35,35.29,51,0.17,9.37,5.88,2.83,3.15,0.91,0,58
432,Aaron Naughton,WBD,FWD,58,310496,329700,-19204,11,61.4,63.64,2.26,64.71,61.4,0.17,9.17,3.06,5.18,3.76,0.91,0,58
433,Jack Ross,RIC,MID,58,308949,333100,-24151,7,62,61,4.58,41.18,60,0,8.79,6.19,3.3,3.68,0.01,0,58
434,Josh Rotham,WCE,DEF,57,306980,331500,-24520,10,61.7,60.7,3.74,58.82,53.6,0,8.75,5.06,4.71,3.3,0.01,0,57
435,Tyler Brown,COL,MID,57,306277,311000,-4723,9,57.9,56.89,3.7,52.94,71,0,8.2,5.01,4.24,4.32,0.01,0,57
436,Ben McKay,NME,DEF,57,305433,333600,-28167,11,62.1,61.09,3.09,64.71,57.8,0,8.8,4.18,5.18,3.55,0.01,0,57
437,Harry Schoenberg,ADE,FWD,57,304590,315600,-11010,8,58.8,57.75,4.16,47.06,64.4,0,8.32,5.63,3.77,3.93,0.01,0,57
438,Lewis Melican,SYD,DEF,57,303887,324700,-20813,9,60.4,59.44,3.38,52.94,59.4,0.11,8.57,4.57,4.24,3.64,0.59,0,57
439,Oleg Markov,GCS,DEF,57,303887,314300,-10413,6,65,64,3.91,35.29,70,0,9.22,5.29,2.83,4.26,0.01,0,57
440,Dylan Clarke,ESS,MID,57,303746,348600,-44854,8,64.9,63.88,3.35,47.06,67,0,9.21,4.53,3.77,4.08,0.01,0,57
441,Dylan Clarke,ESS,FWD,57,303746,348600,-44854,8,64.9,63.88,3.35,47.06,67,0,9.21,4.53,3.77,4.08,0.01,0,57
442,Alex Neal-Bullen,MEL,FWD,56,302480,310100,-7620,7,57.7,71.67,3.04,41.18,61.5,0,10.33,4.11,3.3,3.76,0.01,0,56
443,Ben Brown,MEL,FWD,56,301215,260300,40915,9,48.4,76.67,2.3,52.94,48.4,0,11.05,3.12,4.24,3,0.01,0,56
444,Dylan Moore,HAW,FWD,56,301074,302300,-1226,3,70.3,69.33,4.23,17.65,70.3,0,9.99,5.72,1.42,4.27,0.01,0,56
445,Curtis Taylor,NME,FWD,56,300652,315800,-15148,9,58.8,57.78,3.41,52.94,58.8,0.11,8.33,4.61,4.24,3.61,0.59,0,56
446,Adam Kennedy,GWS,MID,56,298402,300900,-2498,6,56,75.11,3.8,35.29,38.5,0,10.82,5.14,2.83,2.42,0.01,0,56
447,Orazio Fantasia,POR,FWD,55,296855,271800,25055,5,56.2,75.67,3.24,29.41,56.2,0,10.9,4.39,2.36,3.45,0.01,0,55
448,Orazio Fantasia,POR,DEF,55,296855,271800,25055,5,56.2,75.67,3.24,29.41,56.2,0,10.9,4.39,2.36,3.45,0.01,0,55
449,Mabior Chol,RIC,RUC,55,296715,327200,-30485,10,60.9,59.09,3.6225,58.82,47.67,0,8.52,4.9,4.71,2.96,0.01,0,55
450,Todd Marshall,POR,FWD,55,296293,377400,-81107,12,70.2,63.14,2.57,70.59,32.67,0.14,9.1,3.48,5.65,2.09,0.75,0,55
451,Noah Answerth,BRI,DEF,55,295449,304500,-9051,9,56.7,57.9,3.78,52.94,53.5,0,8.35,5.11,4.24,3.3,0.01,0,55
452,Connor Budarick,GCS,DEF,55,295168,256500,38668,15,47.7,46.73,3.22,88.24,45.33,0,6.74,4.36,7.06,2.82,0.01,0,55
453,Matt Rowell,GCS,MID,55,294465,495100,-200635,5,102.4,102.4,0,0.294117647,102.4,0,14.75,0.01,0.03,6.14,0.01,25,80
454,Mitchell Hinge,ADE,MID,55,293059,328800,-35741,1,102,102,0,0.058823529,102,0,14.69,0.01,0.01,6.12,0.01,0,55
455,Shaun McKernan,STK,FWD,55,292777,245900,46877,9,45.8,70.33,2.65,52.94,45.8,0,10.13,3.59,4.24,2.85,0.01,0,55
456,Brayden Ham,ESS,MID,54,292215,277800,14415,10,51.7,50.7,3.27,58.82,71,0,7.31,4.43,4.71,4.32,0.01,0,54
457,Braydon Preuss,GWS,RUC,54,290809,303000,-12191,3,62.7,64.43,4.5325,17.65,62.7,0,9.29,6.13,1.42,3.83,0.01,0,54
458,Darcy Fogarty,ADE,FWD,54,290387,286400,3987,10,53.3,62.25,2.58,58.82,56.5,0,8.97,3.49,4.71,3.47,0.01,0,54
459,Joe Daniher,BRI,FWD,54,290246,233300,56946,4,48.2,76.36,3.14,23.53,34,0.25,11,4.25,1.89,2.16,1.34,11,65
460,James Stewart,ESS,FWD,54,290106,295000,-4894,10,54.9,61.45,2.48,58.82,60.17,0,8.86,3.36,4.71,3.69,0.01,0,54
461,Will Brodie,GCS,MID,54,288840,344900,-56060,1,36,77.25,4.91,5.88,36,0,11.13,6.64,0.48,2.28,0.01,0,54
462,Will Brodie,GCS,FWD,54,288840,344900,-56060,1,36,77.25,4.91,5.88,36,0,11.13,6.64,0.48,2.28,0.01,0,54
463,Bailey Dale,WBD,FWD,54,288277,298500,-10223,9,55.6,61.08,2.98,52.94,55.6,0,8.8,4.03,4.24,3.42,0.01,0,54
464,Mitch Crowden,FRE,FWD,54,288277,295500,-7223,10,55,59.8,2.8,58.82,54.8,0,8.62,3.79,4.71,3.37,0.01,0,54
465,Laitham Vandermeer,WBD,MID,54,287715,278900,8815,12,51.9,50.92,3.15,70.59,51.9,0,7.34,4.26,5.65,3.2,0.01,0,54
466,Laitham Vandermeer,WBD,FWD,54,287715,278900,8815,12,51.9,50.92,3.15,70.59,51.9,0,7.34,4.26,5.65,3.2,0.01,0,54
467,Sam Weideman,MEL,FWD,54,287574,303800,-16226,13,56.5,55.82,2.59,76.47,44.33,0,8.05,3.51,6.12,2.76,0.01,0,54
468,Jake Stringer,ESS,FWD,53,287293,282600,4693,10,52.6,66.14,2.41,58.82,47,0,9.53,3.26,4.71,2.92,0.01,0,53
469,Roarke Smith,WBD,MID,53,286309,281400,4909,5,58.2,59,3.76,29.41,72.5,0,8.5,5.09,2.36,4.4,0.01,0,53
470,Roarke Smith,WBD,FWD,53,286309,281400,4909,5,58.2,59,3.76,29.41,72.5,0,8.5,5.09,2.36,4.4,0.01,0,53
471,Kane Farrell,POR,MID,53,285887,309200,-23313,11,57.5,56.55,3,64.71,39,0.09,8.15,4.06,5.18,2.45,0.49,0,53
472,Kane Farrell,POR,FWD,53,285887,309200,-23313,11,57.5,56.55,3,64.71,39,0.09,8.15,4.06,5.18,2.45,0.49,0,53
473,Isaac Cumming,GWS,DEF,53,285606,288000,-2394,3,67,66,3.91,17.65,67,0,9.51,5.29,1.42,4.08,0.01,0,53
474,Ryan Burton,POR,DEF,53,285465,318800,-33335,6,59.3,71,4.09,35.29,15,0.12,10.23,5.53,2.83,1.06,0.65,0,53
475,Tobe Watson,FRE,DEF,53,285184,303700,-18516,3,70.7,69.67,3.33,17.65,70.7,0,10.04,4.51,1.42,4.3,0.01,0,53
476,David Astbury,RIC,DEF,53,285043,400400,-115357,5,82.8,68.89,4.25,29.41,35,0,9.93,5.75,2.36,2.22,0.01,0,53
477,Daniel Howe,HAW,DEF,53,284340,280500,3840,5,58,70.58,3.37,29.41,50.5,0,10.17,4.56,2.36,3.12,0.01,0,53
478,Daniel Howe,HAW,MID,53,284340,280500,3840,5,58,70.58,3.37,29.41,50.5,0,10.17,4.56,2.36,3.12,0.01,0,53
479,Jake Waterman,WCE,FWD,53,284059,323600,-39541,9,60.2,58.6,3.6,52.94,42,0,8.45,4.87,4.24,2.63,0.01,0,53
480,Jake Riccardi,GWS,FWD,53,283777,336500,-52723,5,69.6,68.6,3.48,29.41,52,0,9.89,4.71,2.36,3.21,0.01,0,53
481,Mitch Lewis,HAW,FWD,53,283777,199500,84277,8,37.1,64.58,1.83,47.06,76,0,9.31,2.48,3.77,4.61,0.01,0,53
482,Will Walker,NME,MID,52,281387,244500,36887,2,65,64,4.33,11.76,65,0,9.22,5.86,0.95,3.97,0.01,0,52
483,Will Walker,NME,FWD,52,281387,244500,36887,2,65,64,4.33,11.76,65,0,9.22,5.86,0.95,3.97,0.01,0,52
484,Nic Newman,CAR,DEF,52,281246,415400,-134154,2,23.5,96.27,2.67,11.76,23.5,0,13.87,3.62,0.95,1.55,0.01,0,52
485,Zaine Cordy,WBD,DEF,52,280824,313700,-32876,13,58.4,55.47,2.72,76.47,34,0,8,3.68,6.12,2.16,0.01,0,52
486,Colin O'Riordan,SYD,DEF,52,279981,268000,11981,8,49.9,60,3.24,47.06,49.9,0,8.65,4.39,3.77,3.09,0.01,0,52
487,Kysaiah Pickett,MEL,FWD,52,278996,256400,22596,14,47.7,46.71,2.63,82.35,47.5,0,6.73,3.56,6.59,2.95,0.01,0,52
488,Oskar Baker,MEL,MID,52,278996,290100,-11104,3,60,59,4.61,17.65,60,0,8.5,6.23,1.42,3.68,0.01,0,52
489,Chayce Jones,ADE,MID,52,278434,236800,41634,15,44.1,47,2.88,88.24,32,0,6.78,3.9,7.06,2.05,0.01,0,52
490,Mitch Brown,MEL,FWD,52,278293,280500,-2207,5,52.2,51.2,3.84,29.41,80,0,7.38,5.2,2.36,4.84,0.01,0,52
491,Levi Greenwood,COL,MID,52,277449,276800,649,4,57.2,64.5,3.7,23.53,57.33,0,9.3,5.01,1.89,3.52,0.01,0,52
492,Jay Lockhart,MEL,DEF,52,276887,289600,-12713,10,53.9,52.9,2.97,58.82,53.9,0,7.63,4.02,4.71,3.32,0.01,0,52
493,Kyron Hayden,NME,DEF,51,274356,281400,-7044,8,52.4,51.38,3.29,47.06,52.4,0.12,7.41,4.45,3.77,3.23,0.65,0,51
494,Mitch McGovern,CAR,FWD,51,273653,283900,-10247,12,52.8,51.83,2.61,70.59,45,0,7.47,3.53,5.65,2.8,0.01,0,51
495,Paddy Ryder,STK,RUC,51,271824,505900,-234076,13,94.2,94.2,0,0.764705882,94.2,0,13.57,0.01,0.07,5.67,0.01,0,51
496,Jack Bytel,STK,MID,50,270418,280500,-10082,3,58,57,4.45,17.65,58,0,8.22,6.02,1.42,3.56,0.01,0,50
497,Archie Smith,BRI,RUC,50,269715,217100,52615,5,40.4,67.33,3.3775,29.41,40.4,0,9.7,4.57,2.36,2.54,0.01,0,50
498,Mason Cox,COL,FWD,50,269575,312200,-42625,9,58.1,57,1.99,52.94,65.5,0,8.22,2.7,4.24,4,0.01,0,50
499,Sam Wicks,SYD,FWD,50,269153,316200,-47047,7,58.9,57.86,2.83,41.18,59.75,0,8.34,3.83,3.3,3.66,0.01,0,50
500,Sam Taylor,GWS,DEF,50,268871,323400,-54529,4,67,66,2.68,23.53,67,0,9.51,3.63,1.89,4.08,0.01,0,50
501,Brandon Zerk-Thatcher,ESS,DEF,50,268590,255200,13390,10,47.5,55,2.71,58.82,44.6,0,7.93,3.67,4.71,2.78,0.01,0,50
502,Bobby Hill,GWS,FWD,50,267465,287200,-19735,5,59.4,58.4,2.88,29.41,53,0.2,8.42,3.9,2.36,3.27,1.07,0,50
503,Mabior Chol,RIC,FWD,50,267325,327200,-59875,10,60.9,59.09,2.07,58.82,47.67,0,8.52,2.81,4.71,2.96,0.01,0,50
