Name,Team,Position,Price,Proj_Score,Type
Lachlan Murphy,ADE,FWD,328600,55,Normal
Tom Atkins,GEE,FWD,293500,55,Normal
Jackson Hately,ADE,MID,310300,55,Normal
Ben McKay,NME,DEF,333600,54,Normal
Lachie Fogarty,CAR,FWD,319100,54,Normal
Alex Neal-Bullen,MEL,FWD,310100,54,Normal
Shaun McKernan,STK,FWD,245900,54,Normal
Brayden Sier,COL,MID,313800,54,Normal
Charlie Constable,GEE,MID,266500,54,Normal
Josh Rotham,WCE,DEF,331500,53,Normal
Lewis Melican,SYD,DEF,324700,53,Normal
Dylan Clarke,ESS,FWD,348600,53,Normal
Lin Jong,WBD,FWD,318100,53,Normal
Curtis Taylor,NME,FWD,315800,53,Normal
Jake Stringer,ESS,FWD,282600,53,Normal
Dylan Clarke,ESS,MID,348600,53,Normal
Dylan Stephens,SYD,MID,337800,53,Normal
Lin Jong,WBD,MID,318100,53,Normal
Adam Kennedy,GWS,MID,300900,53,Normal
Ryan Burton,POR,DEF,318800,52,Normal
Kane Farrell,POR,FWD,309200,52,Normal
Sam Weideman,MEL,FWD,303800,52,Normal
James Stewart,ESS,FWD,295000,52,Normal
Darcy Fogarty,ADE,FWD,286400,52,Normal
Kane Farrell,POR,MID,309200,52,Normal
Tom De Koning,CAR,RUC,305500,52,Normal
Zaine Cordy,WBD,DEF,313700,51,Normal
Connor Budarick,GCS,DEF,256500,51,Normal
Bailey Dale,WBD,FWD,298500,51,Normal
Mitch Crowden,FRE,FWD,295500,51,Normal
Jack Ross,RIC,MID,333100,51,Normal
Tyler Brown,COL,MID,311000,51,Normal
Mabior Chol,RIC,RUC,327200,51,Normal
Noah Answerth,BRI,DEF,304500,50,Normal
Daniel Howe,HAW,DEF,280500,50,Normal
Jake Riccardi,GWS,FWD,336500,50,Normal
Harry Schoenberg,ADE,FWD,315600,50,Normal
Dylan Moore,HAW,FWD,302300,50,Normal
Laitham Vandermeer,WBD,FWD,278900,50,Normal
Daniel Howe,HAW,MID,280500,50,Normal
Laitham Vandermeer,WBD,MID,278900,50,Normal
David Astbury,RIC,DEF,400400,49,Normal
Tobe Watson,FRE,DEF,303700,49,Normal
Colin O'Riordan,SYD,DEF,268000,49,Normal
Mabior Chol,RIC,FWD,327200,49,Normal
Jake Waterman,WCE,FWD,323600,49,Normal
Hayden McLean,SYD,FWD,317000,49,Normal
Bobby Hill,GWS,FWD,287200,49,Normal
Mitch McGovern,CAR,FWD,283900,49,Normal
Kysaiah Pickett,MEL,FWD,256400,49,Normal
Brayden Ham,ESS,MID,277800,49,Normal
Chayce Jones,ADE,MID,236800,49,Normal
Sam Taylor,GWS,DEF,323400,48,Normal
Jay Lockhart,MEL,DEF,289600,48,Normal
Isaac Cumming,GWS,DEF,288000,48,Normal
Kyron Hayden,NME,DEF,281400,48,Normal
Brandon Zerk-Thatcher,ESS,DEF,255200,48,Normal
Mason Cox,COL,FWD,312200,48,Normal
Nick Larkey,NME,FWD,263800,48,Normal
Braydon Preuss,GWS,RUC,303000,48,Normal
Archie Smith,BRI,RUC,217100,48,Normal
Sam Wicks,SYD,FWD,316200,47,Normal
Jayden Laverde,ESS,FWD,308000,47,Normal
Roarke Smith,WBD,FWD,281400,47,Normal
Roarke Smith,WBD,MID,281400,47,Normal
Levi Greenwood,COL,MID,276800,47,Normal
Hayden Young,FRE,DEF,279400,46,Normal
Charlie Spargo,MEL,FWD,298200,46,Normal
Mitch Hannan,WBD,FWD,283600,46,Normal
Will Walker,NME,FWD,244500,46,Normal
Will Walker,NME,MID,244500,46,Normal
Luke Jackson,MEL,FWD,312500,45,Normal
Lance Franklin,SYD,FWD,312000,45,Normal
Darcy Cameron,COL,FWD,302900,45,Normal
Jarrod Brander,WCE,FWD,295500,45,Normal
Tarryn Thomas,NME,FWD,290100,45,Normal
Bailey Banfield,FRE,FWD,288200,45,Normal
Mitch Brown,MEL,FWD,280500,45,Normal
Travis Colyer,FRE,FWD,275800,45,Normal
Jack Mahony,NME,FWD,271900,45,Normal
Tom Sparrow,MEL,MID,337200,45,Normal
Jarrod Brander,WCE,MID,295500,45,Normal
Oskar Baker,MEL,MID,290100,45,Normal
Jack Payne,BRI,DEF,255100,44,Normal
Matt Taberner,FRE,FWD,403000,44,Normal
Rhylee West,WBD,FWD,278000,44,Normal
Sam Gray,SYD,FWD,276300,44,Normal
Lewis Taylor,SYD,FWD,265600,44,Normal
Bradley Close,GEE,FWD,257200,44,Normal
Jack Bytel,STK,MID,280500,44,Normal
Caleb Graham,GCS,DEF,284800,43,Normal
Ryan Gardner,WBD,DEF,232800,43,Normal
Josh Corbett,GCS,FWD,273200,43,Normal
Sam Sturt,FRE,FWD,265100,43,Normal
Jacob Townsend,GCS,FWD,238200,43,Normal
James Bell,SYD,FWD,267300,42,Normal
Brayden Ainsworth,WCE,FWD,253900,42,Normal
Oliver Hanrahan,HAW,FWD,237200,42,Normal
Brayden Ainsworth,WCE,MID,253900,42,Normal
Jack Buckley,GWS,DEF,223800,41,Normal
Billy Frampton,ADE,FWD,286100,41,Normal
Ben Ronke,SYD,FWD,275600,41,Normal
Taylor Garner,NME,FWD,267400,41,Normal
Matthew Cottrell,CAR,MID,262200,41,Normal
Jack Buckley,GWS,MID,223800,41,Normal
Kaiden Brand,SYD,DEF,245000,40,Normal
Tom J. Lynch,RIC,FWD,366700,40,Normal
Joel Smith,MEL,DEF,211100,39,Normal
Harry Himmelberg,GWS,FWD,355300,39,Normal
Aiden Bonar,NME,DEF,245400,38,Normal
Callum L. Brown,COL,FWD,349600,38,Normal
Josh J. Kennedy,WCE,FWD,346200,38,Normal
Keidean Coleman,BRI,FWD,299800,38,Normal
Boyd Woodcock,POR,FWD,261100,38,Normal
Ned McHenry,ADE,FWD,212900,38,Normal
Will Hamill,ADE,DEF,210900,37,Normal
Cameron Ellis-Yolmen,BRI,FWD,337800,37,Normal
Irving Mosquito,ESS,FWD,264700,37,Normal
Jack Silvagni,CAR,FWD,257400,37,Normal
Jack Petruccelle,WCE,FWD,217100,37,Normal
Cameron Ellis-Yolmen,BRI,MID,337800,37,Normal
Matt de Boer,GWS,MID,303700,37,Normal
Will Hayes,WBD,MID,249300,37,Normal
Nick Hind,ESS,FWD,331000,36,Normal
Tristan Xerri,NME,FWD,265900,36,Normal
Josh Schache,WBD,FWD,214400,36,Normal
Xavier O'Halloran,GWS,MID,227500,36,Normal
Kyle Hartigan,HAW,DEF,314300,35,Normal
Connor Idun,GWS,DEF,214900,35,Normal
Mitch Georgiades,POR,FWD,317000,35,Normal
Jesse Hogan,GWS,FWD,310800,34,Normal
Charlie Curnow,CAR,FWD,294600,34,Normal
Sean Lemmens,GCS,FWD,253400,34,Normal
Willem Drew,POR,MID,310800,34,Normal
Marty Hore,MEL,DEF,303600,33,Normal
Lachlan Schultz,FRE,FWD,298000,33,Normal
Sam Switkowski,FRE,FWD,279400,33,Normal
Aaron vandenBerg,MEL,MID,301300,33,Normal
Joel Hamling,FRE,DEF,271000,32,Normal
Marcus Adams,BRI,DEF,250400,32,Normal
Willie Rioli,WCE,FWD,296600,32,Normal
Tom Hickey,SYD,RUC,261100,32,Normal
Zac Smith,GCS,RUC,216000,31,Normal
Caleb Marchbank,CAR,DEF,275400,30,Normal
Rory Atkins,GCS,MID,244200,30,Normal
Daniel McKenzie,STK,DEF,222300,29,Normal
Nathan Vardy,WCE,RUC,228600,29,Normal
Kayne Turner,NME,FWD,260800,28,Normal
Jordan Murdoch,GCS,DEF,253000,27,Normal
Matt Buntine,GWS,DEF,225900,26,Normal
Thomas Berry,BRI,FWD,235500,26,Normal
Xavier O'Neill,WCE,FWD,233200,26,Normal
Matt Buntine,GWS,FWD,225900,26,Normal
Xavier O'Neill,WCE,MID,233200,26,Normal
Alex Pearce,FRE,DEF,235600,25,Normal
Jack Hombsch,GCS,DEF,230200,25,Normal
Patrick Ambrose,ESS,DEF,217800,25,Normal
Zac Langdon,WCE,FWD,224900,25,Normal
Chris Burgess,GCS,DEF,210000,22,Normal
Cameron Rayner,BRI,FWD,392900,20,Normal
Sam J. Reid,GWS,DEF,297300,18,Normal
Harrison Petty,MEL,DEF,228200,0,Normal
Peter Wright,ESS,FWD,292300,0,Normal
Harrison Petty,MEL,FWD,228200,0,Normal
Matt Flynn,GWS,RUC,123900,75,Rookie
Paddy Dow,CAR,FWD,202400,70,Rookie
Paddy Dow,CAR,MID,202400,70,Rookie
Braeden Campbell,SYD,FWD,189300,64,Rookie
Braeden Campbell,SYD,MID,189300,64,Rookie
Tom Powell,NME,MID,153300,64,Rookie
Chad Warner,SYD,FWD,144000,62,Rookie
Jordon Butts,ADE,DEF,176800,58,Rookie
Nikolas Cox,ESS,DEF,175800,58,Rookie
Archie Perkins,ESS,FWD,171300,58,Rookie
Miles Bergman,POR,FWD,123900,58,Rookie
Tyler Brockman,HAW,FWD,117300,58,Rookie
Tom Fullarton,BRI,FWD,128900,58,Rookie
James Rowe,ADE,FWD,117300,58,Rookie
Archie Perkins,ESS,MID,171300,58,Rookie
Tyler Brockman,HAW,MID,117300,58,Rookie
Tom Fullarton,BRI,RUC,128900,58,Rookie
Lloyd Meek,FRE,RUC,123900,58,Rookie
Lachlan Jones,POR,DEF,139800,53,Rookie
Thomas Highmore,STK,DEF,117300,53,Rookie
Riley Thilthorpe,ADE,FWD,202800,53,Rookie
Harrison Jones,ESS,FWD,123900,53,Rookie
Alex Waterman,ESS,FWD,102400,53,Rookie
James Jordon,MEL,MID,123900,53,Rookie
Errol Gulden,SYD,MID,117300,53,Rookie
Connor Downie,HAW,MID,117300,53,Rookie
Riley Thilthorpe,ADE,RUC,202800,53,Rookie
Jacob Koschitzke,HAW,DEF,123900,48,Rookie
Lachie Young,NME,DEF,202000,40,Rookie
Heath Chapman,FRE,DEF,148800,40,Rookie
Trent Bianco,COL,DEF,123900,40,Rookie
Will Gould,SYD,DEF,123900,40,Rookie
Kieren Briggs,GWS,DEF,123900,40,Rookie
Martin Frederick,POR,DEF,123900,40,Rookie
Jacob Wehr,GWS,DEF,117300,40,Rookie
Logan McDonald,SYD,FWD,193800,40,Rookie
Deven Robertson,BRI,FWD,176800,40,Rookie
Oliver Henry,COL,FWD,135300,40,Rookie
Finlay Macrae,COL,FWD,126300,40,Rookie
Ely Smith,BRI,FWD,123900,40,Rookie
Kieren Briggs,GWS,FWD,123900,40,Rookie
Corey Durdin,CAR,FWD,117200,40,Rookie
Josh Treacy,FRE,FWD,102400,40,Rookie
Lachie Young,NME,MID,202000,40,Rookie
Will Phillips,NME,MID,198300,40,Rookie
Tanner Bruhn,GWS,MID,157800,40,Rookie
Oliver Henry,COL,MID,135300,40,Rookie
Finlay Macrae,COL,MID,126300,40,Rookie
Ely Smith,BRI,MID,123900,40,Rookie
Hugo Ralphsmith,RIC,MID,123900,40,Rookie
Riley Collier-Dawkins,RIC,MID,123900,40,Rookie
Jackson Mead,POR,MID,123900,40,Rookie
Sam Berry,ADE,MID,117300,40,Rookie
Corey Durdin,CAR,MID,117300,40,Rookie
Keegan Brooksby,HAW,RUC,206900,40,Rookie
Josh Treacy,FRE,RUC,102400,40,Rookie
Isaac Chugg,COL,DEF,102400,30,Rookie
Isaac Chugg,COL,FWD,102400,30,Rookie
Luke Valente,FRE,MID,123900,30,Rookie
Connor Menadue,NME,DEF,201500,0,Rookie
Jake Stein,GWS,DEF,200100,0,Rookie
Fischer Mcasey,ADE,DEF,199300,0,Rookie
Lewis Young,WBD,DEF,198300,0,Rookie
Flynn Perez,NME,DEF,193400,0,Rookie
Louis Butler,WBD,DEF,191800,0,Rookie
Joel Garner,POR,DEF,189900,0,Rookie
Ryan Garthwaite,RIC,DEF,188000,0,Rookie
Liam Stocker,CAR,DEF,186500,0,Rookie
Neville Jetta,MEL,DEF,186300,0,Rookie
Denver Grainger-Barras,HAW,DEF,184800,0,Rookie
Tyson Goldsack,POR,DEF,182000,0,Rookie
Zach Guthrie,GEE,DEF,180500,0,Rookie
Darragh Joyce,STK,DEF,177300,0,Rookie
Zach Reid,ESS,DEF,166800,0,Rookie
Matthew Ling,SYD,DEF,163000,0,Rookie
Kade Chandler,MEL,DEF,161200,0,Rookie
Mark Keane,COL,DEF,158000,0,Rookie
Dylan Roberton,STK,DEF,139700,0,Rookie
Ben Jarvis,GEE,DEF,139200,0,Rookie
Luke Foley,WCE,DEF,127900,0,Rookie
James Madden,BRI,DEF,123900,0,Rookie
Rory Thompson,GCS,DEF,123900,0,Rookie
Barry O'Connor,SYD,DEF,123900,0,Rookie
Ben Johnson,WCE,DEF,123900,0,Rookie
Ben Miller,RIC,DEF,123900,0,Rookie
Brock Smith,BRI,DEF,123900,0,Rookie
Buku Khamis,WBD,DEF,123900,0,Rookie
Callum M. Brown,GWS,DEF,123900,0,Rookie
Cian McBride,ESS,DEF,123900,0,Rookie
Harry Edwards,WCE,DEF,123900,0,Rookie
Harry Pepper,HAW,DEF,123900,0,Rookie
Jake Pasini,POR,DEF,123900,0,Rookie
Jaxon Prior,BRI,DEF,123900,0,Rookie
Jez McLennan,GCS,DEF,123900,0,Rookie
Josh Worrell,ADE,DEF,123900,0,Rookie
Lachlan Gollant,ADE,DEF,123900,0,Rookie
Leno Thomas,FRE,DEF,123900,0,Rookie
Leo Connolly,STK,DEF,123900,0,Rookie
Luke Towey,GCS,DEF,123900,0,Rookie
Matt McGuinness,NME,DEF,123900,0,Rookie
Nathan Murphy,COL,DEF,123900,0,Rookie
Oscar Clavarino,STK,DEF,123900,0,Rookie
Ross McQuillan,ESS,DEF,123900,0,Rookie
Sam De Koning,GEE,DEF,123900,0,Rookie
Stefan Okunbor,GEE,DEF,123900,0,Rookie
Bailey Laurie,MEL,DEF,117300,0,Rookie
Beau McCreery,COL,DEF,117300,0,Rookie
Brandon Walker,FRE,DEF,117300,0,Rookie
Cameron Fleeton,GWS,DEF,117300,0,Rookie
Cody Brand,ESS,DEF,117300,0,Rookie
Harry Sharp,BRI,DEF,117300,0,Rookie
Isiah Winder,WCE,DEF,117300,0,Rookie
Joshua Eyre,ESS,DEF,117300,0,Rookie
Blake Coleman,BRI,DEF,117200,0,Rookie
Nick Stevens,GEE,DEF,117200,0,Rookie
Aiden Fyfe,GCS,DEF,102400,0,Rookie
Deividas Uosis,BRI,DEF,102400,0,Rookie
James Borlase,ADE,DEF,102400,0,Rookie
Joel Jeffrey,GCS,DEF,102400,0,Rookie
Luke Parks,CAR,DEF,102400,0,Rookie
Malachy Carruthers,SYD,DEF,102400,0,Rookie
Patrick Walker,NME,DEF,102400,0,Rookie
Rhys Nicholls,GCS,DEF,102400,0,Rookie
Will Shaw,GWS,DEF,102400,0,Rookie
Jamarra Ugle-Hagan,WBD,FWD,207300,0,Rookie
Trey Ruscoe,COL,FWD,206800,0,Rookie
Mitch Lewis,HAW,FWD,199500,0,Rookie
Ben Cavarra,WBD,FWD,194900,0,Rookie
Bailey J. Williams,WCE,FWD,193400,0,Rookie
Conor Nash,HAW,FWD,193400,0,Rookie
Sam Flanders,GCS,FWD,192300,0,Rookie
Ben Davis,ADE,FWD,191800,0,Rookie
Jonathon Patton,HAW,FWD,189800,0,Rookie
Liam Henry,FRE,FWD,184500,0,Rookie
Jy Farrar,GCS,FWD,184300,0,Rookie
Jamaine Jones,WCE,FWD,182400,0,Rookie
Elijah Hollands,GCS,FWD,180300,0,Rookie
Daniel Venables,WCE,FWD,179900,0,Rookie
Minairo Frederick,FRE,FWD,175700,0,Rookie
Atu Bosenavulagi,NME,FWD,175500,0,Rookie
Cody Weightman,WBD,FWD,173700,0,Rookie
Sam Philp,CAR,FWD,171100,0,Rookie
Jayden Hunt,MEL,FWD,163300,0,Rookie
Ned Cahill,ESS,FWD,161200,0,Rookie
Callum Coleman-Jones,RIC,FWD,161200,0,Rookie
Kade Chandler,MEL,FWD,161200,0,Rookie
Mark Hutchings,WCE,FWD,157600,0,Rookie
Tom Campbell,NME,FWD,154700,0,Rookie
Jarrod Cameron,WCE,FWD,153700,0,Rookie
Kieran Strachan,ADE,FWD,146700,0,Rookie
Connor Ballenden,BRI,FWD,146100,0,Rookie
Josh Morris,HAW,FWD,145100,0,Rookie
Conor Stone,GWS,FWD,144300,0,Rookie
Ben Jarvis,GEE,FWD,139200,0,Rookie
Toby Bedford,MEL,FWD,137000,0,Rookie
Will Kelly,COL,FWD,135400,0,Rookie
Tom Hutchesson,GWS,FWD,135400,0,Rookie
Dylan Williams,POR,FWD,123900,0,Rookie
James Madden,BRI,FWD,123900,0,Rookie
Anton Tohill,COL,FWD,123900,0,Rookie
Barry O'Connor,SYD,FWD,123900,0,Rookie
Cameron Taheny,GEE,FWD,123900,0,Rookie
Connor McFadyen,BRI,FWD,123900,0,Rookie
Emerson Jeka,HAW,FWD,123900,0,Rookie
Francis Evans,GEE,FWD,123900,0,Rookie
Lachlan Johnson,ESS,FWD,123900,0,Rookie
Leno Thomas,FRE,FWD,123900,0,Rookie
Malcolm Rosas,GCS,FWD,123900,0,Rookie
Matthew Owies,CAR,FWD,123900,0,Rookie
Max Lynch,COL,FWD,123900,0,Rookie
Max Lynch,COL,FWD,123900,0,Rookie
Nakia Cockatoo,BRI,FWD,123900,0,Rookie
Nathan Kreuger,GEE,FWD,123900,0,Rookie
Noah Cumberland,RIC,FWD,123900,0,Rookie
Oscar Brownless,GEE,FWD,123900,0,Rookie
Patrick Murtagh,GCS,FWD,123900,0,Rookie
Ross McQuillan,ESS,FWD,123900,0,Rookie
Stefan Okunbor,GEE,FWD,123900,0,Rookie
Tom Wilson,COL,FWD,123900,0,Rookie
Trent Burgoyne,POR,FWD,123900,0,Rookie
Zach Sproule,GWS,FWD,123900,0,Rookie
Max Holmes,GEE,FWD,121800,0,Rookie
Beau McCreery,COL,FWD,117300,0,Rookie
Brayden Cook,ADE,FWD,117300,0,Rookie
Caleb Poulter,COL,FWD,117300,0,Rookie
Dominic Bedendo,WBD,FWD,117300,0,Rookie
Eddie Ford,NME,FWD,117300,0,Rookie
Fraser Rosman,MEL,FWD,117300,0,Rookie
Jake Bowey,MEL,FWD,117300,0,Rookie
Joshua Eyre,ESS,FWD,117300,0,Rookie
Liam McMahon,COL,FWD,117300,0,Rookie
Matthew Allison,STK,FWD,117300,0,Rookie
Maurice Rioli,RIC,FWD,117300,0,Rookie
Ollie Lord,POR,FWD,117300,0,Rookie
Phoenix Spicer,NME,FWD,117300,0,Rookie
Reef McInnes,COL,FWD,117300,0,Rookie
Seamus Mitchell,HAW,FWD,117300,0,Rookie
Blake Coleman,BRI,FWD,117200,0,Rookie
Jack Carroll,CAR,FWD,117200,0,Rookie
Jack Ginnivan,COL,FWD,102400,0,Rookie
Jack Saunders,HAW,FWD,102400,0,Rookie
Joel Jeffrey,GCS,FWD,102400,0,Rookie
Marc Sheather,SYD,FWD,102400,0,Rookie
Lewis Young,WBD,MID,198300,0,Rookie
Finn Maginness,HAW,MID,195600,0,Rookie
Ben Cavarra,WBD,MID,194900,0,Rookie
Flynn Perez,NME,MID,193400,0,Rookie
Jamaine Jones,WCE,MID,182400,0,Rookie
Lochie O'Brien,CAR,MID,180500,0,Rookie
Patrick Naish,RIC,MID,180500,0,Rookie
Zach Reid,ESS,MID,166800,0,Rookie
Luke Pedlar,ADE,MID,162300,0,Rookie
Mark Hutchings,WCE,MID,157600,0,Rookie
Thomson Dow,RIC,MID,146100,0,Rookie
Jeremy Sharp,GCS,MID,141800,0,Rookie
Tom Hutchesson,GWS,MID,135400,0,Rookie
Ryan Angwin,GWS,MID,130800,0,Rookie
Dylan Williams,POR,MID,123900,0,Rookie
Ryan Byrnes,STK,MID,123900,0,Rookie
Stefan Giro,FRE,MID,123900,0,Rookie
Aaron Nietschke,MEL,MID,123900,0,Rookie
Brock Smith,BRI,MID,123900,0,Rookie
Brodie Kemp,CAR,MID,123900,0,Rookie
Cooper Stephens,GEE,MID,123900,0,Rookie
Francis Evans,GEE,MID,123900,0,Rookie
Harry Edwards,WCE,MID,123900,0,Rookie
Jake Pasini,POR,MID,123900,0,Rookie
Jay Rantall,COL,MID,123900,0,Rookie
Josh Honey,CAR,MID,123900,0,Rookie
Lachlan Johnson,ESS,MID,123900,0,Rookie
Nakia Cockatoo,BRI,MID,123900,0,Rookie
Nick Shipley,GWS,MID,123900,0,Rookie
Noah Cumberland,RIC,MID,123900,0,Rookie
Riley Garcia,WBD,MID,123900,0,Rookie
Ronin O'Connor,ADE,MID,123900,0,Rookie
Sam Ramsay,CAR,MID,123900,0,Rookie
Tom Hird,ESS,MID,123900,0,Rookie
Tom Joyce,BRI,MID,123900,0,Rookie
Tom Wilson,COL,MID,123900,0,Rookie
Trent Burgoyne,POR,MID,123900,0,Rookie
Will Martyn,RIC,MID,123900,0,Rookie
Max Holmes,GEE,MID,121800,0,Rookie
Charlie Lazzaro,NME,MID,117300,0,Rookie
Henry Smith,BRI,MID,117300,0,Rookie
Isiah Winder,WCE,MID,117300,0,Rookie
Joel Western,FRE,MID,117300,0,Rookie
Luke Edwards,WCE,MID,117300,0,Rookie
Nathan O'Driscoll,FRE,MID,117300,0,Rookie
Reef McInnes,COL,MID,117300,0,Rookie
Jack Carroll,CAR,MID,117200,0,Rookie
Alex Davies,GCS,MID,102400,0,Rookie
Carter Michael,BRI,MID,102400,0,Rookie
Hawego Paul Oea,GCS,MID,102400,0,Rookie
Jack Ginnivan,COL,MID,102400,0,Rookie
Jack Saunders,HAW,MID,102400,0,Rookie
Lachlan McNeil,WBD,MID,102400,0,Rookie
Taj Schofield,POR,MID,102400,0,Rookie
Tariek Newchurch,ADE,MID,102400,0,Rookie
Zane Trew,WCE,MID,102400,0,Rookie
Zane Trew,WCE,MID,102400,0,Rookie
Joel Amartey,SYD,RUC,195600,0,Rookie
Bailey J. Williams,WCE,RUC,193400,0,Rookie
Callum Coleman-Jones,RIC,RUC,161200,0,Rookie
Tom Campbell,NME,RUC,154700,0,Rookie
Kieran Strachan,ADE,RUC,146700,0,Rookie
Austin Bradtke,MEL,RUC,123900,0,Rookie
Bigoa Nyuon,RIC,RUC,123900,0,Rookie
Callum Jamieson,WCE,RUC,123900,0,Rookie
Charlie Comben,NME,RUC,123900,0,Rookie
Jordon Sweet,WBD,RUC,123900,0,Rookie
Matt Conroy,GCS,RUC,123900,0,Rookie
Max Lynch,COL,RUC,123900,0,Rookie
Ned Reeves,HAW,RUC,123900,0,Rookie
Nick Bryan,ESS,RUC,123900,0,Rookie
Sam Hayes,POR,RUC,123900,0,Rookie
Sam Alabakis,STK,RUC,123900,0,Rookie
Henry Smith,BRI,RUC,117300,0,Rookie
Samson Ryan,RIC,RUC,117300,0,Rookie
Shannon Neale,GEE,RUC,117300,0,Rookie
Mate Colina,RIC,RUC,102400,0,Rookie
Paul Tsapatolis,GEE,RUC,102400,0,Rookie
