Name,Team,Position,Price,2020_Average,model_proj_score,manual_weight,Proj_Score,proj_salary,value,2020_Games,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,2021 Notes
Dane Rampe,SYD,DEF,492300,91.6,84,0,84,463213,-29087,11,94.19,5,64.71,91.6,0.36,13.57,6.76,5.18,5.51,1.92,
Kane Lambert,RIC,FWD,445900,83,84,0,84,461947,16047,16,83.24,5.38,94.12,78,0.25,11.99,7.27,7.53,4.72,1.34,
Chad Wingard,HAW,FWD,452300,84.2,84,-2,82,459978,7678,17,83.18,4.67,100,80.4,0.29,11.98,6.32,8,4.86,1.55,nigggke
Liam Ryan,WCE,FWD,409600,76.2,84,0,84,459697,50097,17,77.33,3.76,100,106.5,0.39,11.14,5.09,8,6.38,2.08,
Mitch Robinson,BRI,MID,418800,77.9,84,0,84,459416,40616,17,90.67,4.91,100,72.14,0.11,13.06,6.64,8,4.38,0.59,
Zak Butters,POR,FWD,471400,87.7,84,0,84,458572,-12828,15,84.82,4.73,88.24,83.75,0.35,12.22,6.4,7.06,5.06,1.87,
Josh Daicos,COL,MID,442200,82.3,84,0,84,458572,16372,16,79.22,5.5,94.12,83.57,0.22,11.41,7.44,7.53,5.05,1.18,
Jack Lukosius,GCS,DEF,430800,80.2,84,0,84,458150,27350,17,79.18,5.73,100,68,0.24,11.41,7.75,8,4.14,1.28,
Tom Lynch,ADE,FWD,407900,75.9,83,0,83,456603,48703,13,81.69,6.04,76.47,93,0.15,11.77,8.17,6.12,5.6,0.81,
Alex Witherden,WCE,DEF,456100,94.3,83,0,83,455760,-340,6,93.33,6.86,35.29,69,0.5,13.45,9.27,2.83,4.2,2.66,
Hamish Hartlett,POR,DEF,421900,78.5,83,0,83,453228,31328,17,86.42,4.79,100,73.17,0.16,12.45,6.48,8,4.44,0.86,
Sam Petrevski-Seton,CAR,DEF,401400,74.7,82,0,82,452244,50844,16,80.17,4.82,94.12,81,0.31,11.55,6.52,7.53,4.9,1.66,
Caleb Serong,FRE,MID,435600,81.1,82,0,82,452244,16644,14,79.79,5.62,82.35,88.8,0.21,11.5,7.6,6.59,5.35,1.12,
Jason Johannisen,WBD,DEF,448300,83.4,82,0,82,450416,2116,16,81.71,5.07,94.12,75.75,0.24,11.77,6.86,7.53,4.59,1.28,
Nick Coffield,STK,DEF,426500,79.4,82,0,82,450135,23635,16,78.94,5.21,94.12,85.29,0.17,11.37,7.05,7.53,5.15,0.91,
Trent McKenzie,POR,DEF,388300,72.3,82,0,82,449572,61272,15,107,3.75,88.24,72.83,0,15.41,5.07,7.06,4.42,0.01,
Toby Greene,GWS,FWD,448400,83.5,82,0,82,449572,1172,13,92.19,5.31,76.47,61,0.31,13.28,7.18,6.12,3.73,1.66,
Jack Gunston,HAW,FWD,438200,81.6,82,0,82,447744,9544,16,88.8,3.57,94.12,94.25,0.19,12.79,4.83,7.53,5.67,1.02,
Dion Prestia,RIC,MID,446800,92.4,81,-4,77,446338,-462,5,101.85,6.74,29.41,83,0.11,14.67,9.11,2.36,5.01,0.59,3 week injury
Sean Darcy,FRE,RUC,420100,78.2,81,0,81,444369,24269,15,76.53,5.215,88.24,89.4,0.2,11.03,7.05,7.06,5.39,1.07,
Karl Amon,POR,MID,431400,80.3,81,0,81,444088,12688,17,78,5.22,100,77.5,0.11,11.24,7.06,8,4.69,0.59,
Jade Gresham,STK,MID,438100,81.5,81,0,81,442963,4863,11,81.9,6.03,64.71,81.5,0.27,11.8,8.15,5.18,4.93,1.44,
Michael Hurley,ESS,DEF,431400,80.3,81,0,81,442400,11000,14,93.52,5.2,82.35,59,0.14,13.47,7.03,6.59,3.62,0.75,
Jack Redden,WCE,MID,377900,70.3,80,0,80,440994,63094,12,93.85,5.48,70.59,65,0.15,13.52,7.41,5.65,3.97,0.81,
Tom Doedee,ADE,DEF,457900,85.2,80,0,80,440853,-17047,9,84.22,5.07,52.94,85.2,0.56,12.13,6.86,4.24,5.14,2.98,
Charlie Dixon,POR,FWD,498700,92.8,80,0,80,440291,-58409,16,87.39,3.06,94.12,87.83,0.33,12.59,4.14,7.53,5.29,1.76,
James Harmes,MEL,DEF,344700,64.2,80,0,80,439869,95169,13,91.96,4.98,76.47,78.5,0.08,13.25,6.73,6.12,4.75,0.43,
Brandan Parfitt,GEE,MID,455100,84.7,80,0,80,439588,-15512,14,83.44,4.99,82.35,82.62,0.17,12.02,6.75,6.59,4.99,0.91,
Harris Andrews,BRI,DEF,469700,87.4,80,0,80,439307,-30393,14,86.56,3.82,82.35,88.75,0.31,12.47,5.17,6.59,5.35,1.66,
Jack Graham,RIC,MID,446400,83.1,80,0,80,438322,-8078,12,81.12,5.19,70.59,85.29,0.31,11.69,7.02,5.65,5.15,1.66,
Ben McEvoy,HAW,DEF,456000,84.9,80,0,80,437900,-18100,16,94.79,2.8,94.12,79.75,0.25,13.66,3.79,7.53,4.82,1.34,
James Aish,FRE,MID,404600,75.3,80,0,80,437197,32597,16,73.94,5.52,94.12,73,0.19,10.65,7.46,7.53,4.43,1.02,
Oliver Florent,SYD,MID,408300,76,80,0,80,437057,28757,17,75,5.61,100,60.6,0.18,10.81,7.59,8,3.71,0.97,
Tom Barrass,WCE,DEF,447200,83.2,80,0,80,436775,-10425,17,80.22,3.51,100,87,0.28,11.56,4.75,8,5.25,1.5,
Michael Hibberd,MEL,DEF,378000,70.4,80,0,80,436494,58494,14,91.1,5.16,82.35,65,0.07,13.12,6.98,6.59,3.97,0.38,
Jeremy Cameron,GEE,FWD,388100,72.2,80,2,82,436494,48394,17,88,3.47,100,77.4,0.18,12.68,4.7,8,4.69,0.97,
Ben Ainsworth,GCS,FWD,406300,75.6,79,0,79,435650,29350,16,74.62,4.97,94.12,88.5,0.12,10.75,6.72,7.53,5.33,0.65,
Tom Phillips,HAW,MID,402600,74.9,79,0,79,435650,33050,15,84.14,5.17,88.24,73,0.07,12.12,6.99,7.06,4.43,0.38,
Tom Phillips,HAW,FWD,402600,74.9,79,0,79,435650,33050,15,84.14,5.17,88.24,73,0.07,12.12,6.99,7.06,4.43,0.38,
Jack Darling,WCE,FWD,434900,80.9,79,0,79,434947,47,17,82.31,3.28,100,85,0.28,11.86,4.44,8,5.13,1.5,
Zach Tuohy,GEE,MID,405100,75.4,79,0,79,433541,28441,15,81.11,5.36,88.24,69.71,0.11,11.69,7.25,7.06,4.24,0.59,
Sam Powell-Pepper,POR,MID,404500,75.3,79,0,79,433541,29041,17,74.11,4.77,100,75.5,0.21,10.68,6.45,8,4.58,1.12,
Sam Powell-Pepper,POR,FWD,404500,75.3,79,0,79,433541,29041,17,74.11,4.77,100,75.5,0.21,10.68,6.45,8,4.58,1.12,
Callum Sinclair,SYD,RUC,414100,77.1,79,0,79,433400,19300,13,87.88,5.4775,76.47,62.5,0.15,12.66,7.41,6.12,3.82,0.81,
Harry Cunningham,SYD,DEF,410400,74.7,79,0,79,432697,22297,17,77.33,5.08,100,73,0.06,11.14,6.87,8,4.43,0.33,
Jeremy McGovern,WCE,DEF,462100,86,79,0,79,431432,-30668,11,89,4.57,64.71,85.5,0.25,12.82,6.18,5.18,5.16,1.34,
Rory Lobb,FRE,FWD,415000,77.2,78,0,78,430307,15307,17,84.07,3.39,100,76.2,0.24,12.11,4.59,8,4.62,1.28,
Jack Newnes,CAR,MID,401700,74.8,78,0,78,430026,28326,17,73.76,4.62,100,83.6,0.12,10.63,6.25,8,5.05,0.65,
Jack Newnes,CAR,FWD,401700,74.8,78,0,78,430026,28326,17,73.76,4.62,100,83.6,0.12,10.63,6.25,8,5.05,0.65,
Tom Papley,SYD,FWD,428600,79.8,78,0,78,429885,1285,17,78.76,4.02,100,74.2,0.24,11.35,5.44,8,4.5,1.28,
Marlion Pickett,RIC,MID,386500,71.9,78,0,78,429885,43385,15,93,4.21,88.24,62.67,0.11,13.4,5.69,7.06,3.83,0.59,
Zac Bailey,BRI,MID,420300,78.2,78,0,78,429604,9304,17,74.95,4.8,100,68,0.21,10.8,6.49,8,4.14,1.12,
Zac Bailey,BRI,FWD,420300,78.2,78,0,78,429604,9304,17,74.95,4.8,100,68,0.21,10.8,6.49,8,4.14,1.12,
Marc Pittonet,CAR,RUC,421500,78.5,78,0,78,428479,6979,13,77.46,5.215,76.47,88.5,0.15,11.16,7.05,6.12,5.33,0.81,
Peter Ladhams,POR,RUC,460000,85.6,78,0,78,428057,-31943,8,80.9,7.49,47.06,53.33,0.3,11.66,10.12,3.77,3.29,1.6,
Blake Acres,FRE,MID,453600,84.4,78,0,78,427916,-25684,7,83.43,6.38,41.18,69,0.43,12.02,8.62,3.3,4.2,2.29,
Liam Baker,RIC,DEF,419100,78,78,0,78,427776,8676,16,75.2,5.12,94.12,75.78,0.1,10.84,6.92,7.53,4.59,0.54,
Jack Martin,CAR,FWD,446300,83.1,78,0,78,427635,-18665,15,82.07,4.81,88.24,53,0.33,11.82,6.5,7.06,3.27,1.76,
Shaun Atley,NME,DEF,404200,75.2,78,0,78,426932,22732,17,74.24,5.25,100,64,0.12,10.7,7.1,8,3.91,0.65,
Hayden Crozier,WBD,DEF,409100,76.1,78,0,78,426791,17691,14,77,4.5,82.35,79.67,0.33,11.09,6.09,6.59,4.82,1.76,
Darcy Moore,COL,DEF,430200,80.1,78,0,78,425666,-4534,16,77.17,4.2,94.12,78.67,0.22,11.12,5.68,7.53,4.76,1.18,
Isaac Heeney,SYD,FWD,454500,94,78,0,78,425666,-28834,6,93,4.9,35.29,94,0.33,13.4,6.63,2.83,5.65,1.76,
Shane Mumford,GWS,RUC,420700,78.3,78,0,78,425526,4826,10,90.84,4.69,58.82,83.67,0.2,13.09,6.34,4.71,5.05,1.07,
Ben Cunnington,NME,MID,439800,102.3,77,14,91,423697,-16103,3,101.33,5.89,17.65,102.3,0,14.6,7.96,1.42,6.14,0.01,return from injury
Jacob Weitering,CAR,DEF,410400,74.7,77,0,77,422010,11610,17,73.71,3.93,100,84.4,0.18,10.62,5.32,8,5.1,0.97,
Jake Lever,MEL,DEF,419400,78.1,77,0,77,420323,923,17,77.06,3.53,100,83.5,0.18,11.1,4.78,8,5.04,0.97,
Paul Seedsman,ADE,MID,429800,80,77,0,77,420041,-9759,9,79,5.66,52.94,80,0.33,11.38,7.65,4.24,4.84,1.76,
Dan Butler,STK,FWD,416900,77.7,77,0,77,419479,2579,17,76.21,3.73,100,72.57,0.26,10.98,5.05,8,4.41,1.39,
Isaac Smith,GEE,MID,397600,74,76,0,76,418354,20754,10,80,5.49,58.82,74,0.3,11.53,7.42,4.71,4.49,1.6,
Isaac Smith,GEE,FWD,397600,74,76,0,76,418354,20754,10,80,5.49,58.82,74,0.3,11.53,7.42,4.71,4.49,1.6,
Tom Jonas,POR,DEF,373600,69.5,76,0,76,418073,44473,17,80.78,3.51,100,69.33,0.21,11.64,4.75,8,4.22,1.12,
Callan Ward,GWS,MID,409900,76.3,76,0,76,417932,8032,7,99.42,4.98,41.18,76.3,0.14,14.32,6.73,3.3,4.62,0.75,
James Rowbottom,SYD,MID,405600,75.5,76,0,76,416385,10785,16,74.5,5.06,94.12,63.25,0.12,10.73,6.84,7.53,3.86,0.65,
James Cousins,HAW,MID,412600,85.3,76,0,76,415682,3082,6,84.33,6.19,35.29,88,0.17,12.15,8.37,2.83,5.3,0.91,
Tim Membrey,STK,FWD,363700,67.7,76,0,76,415541,51841,16,79.67,3.5,94.12,80.83,0.17,11.48,4.74,7.53,4.89,0.91,
Sam Collins,GCS,DEF,422500,78.6,76,0,76,415260,-7240,17,77.65,3.61,100,74,0.18,11.19,4.88,8,4.49,0.97,
Ethan Hughes,FRE,DEF,381800,71.1,75,0,75,413854,32054,17,69.94,4.26,100,87.2,0.06,10.08,5.76,8,5.26,0.33,
Jamie Cripps,WCE,FWD,373600,69.5,75,0,75,412448,38848,13,75.53,4.17,76.47,99,0.14,10.88,5.64,6.12,5.94,0.75,
Luke Davies-Uniacke,NME,MID,432800,80.6,75,0,75,412026,-20774,9,79.56,5.78,52.94,86.25,0.11,11.46,7.81,4.24,5.2,0.59,
Michael Gibbons,CAR,FWD,401500,74.7,75,0,75,409776,8276,15,73.73,4.91,88.24,61.33,0.2,10.62,6.64,7.06,3.75,1.07,
Callum Wilkie,STK,DEF,409000,76.1,75,0,75,409354,354,17,72.47,4.32,100,65,0.16,10.44,5.84,8,3.97,0.86,
Shane Edwards,RIC,MID,416700,86.2,75,0,75,408932,-7768,6,86.04,5.93,35.29,69.5,0.3,12.4,8.02,2.83,4.23,1.6,
Gryan Miers,GEE,FWD,387100,72.1,74,0,74,408370,21270,17,70.57,4.39,100,68.67,0.14,10.17,5.94,8,4.18,0.75,
Will Snelling,ESS,FWD,368500,68.6,74,0,74,408229,39729,17,75.25,4.32,100,66,0.06,10.84,5.84,8,4.02,0.33,
Ivan Soldo,RIC,RUC,403000,75,74,-40,34,407245,4245,14,74,4.655,82.35,63.25,0.29,10.66,6.3,6.59,3.86,1.55,out for season
Jonathon Ceglar,HAW,RUC,388100,72.2,74,0,74,407104,19004,13,73.8,5.8625,76.47,56.33,0.15,10.63,7.93,6.12,3.46,0.81,
Luke Breust,HAW,FWD,428100,81.5,74,0,74,406963,-21137,13,83.62,3.44,76.47,88,0.15,12.05,4.66,6.12,5.3,0.81,
Toby McLean,WBD,FWD,366700,68.2,74,0,74,406541,39841,12,89.08,4.44,70.59,65.33,0.08,12.83,6.01,5.65,3.99,0.43,
Sam Naismith,SYD,RUC,376100,100,74,0,74,406260,30160,2,99,5.67,11.76,100,0,14.26,7.67,0.95,6,0.01,
Jack Scrimshaw,HAW,DEF,399600,74.4,74,0,74,406120,6520,13,73.31,4.93,76.47,84.4,0.08,10.56,6.67,6.12,5.1,0.43,
Luke Dunstan,STK,MID,395400,92,74,0,74,405698,10298,1,91,7.18,5.88,92,0,13.11,9.71,0.48,5.54,0.01,
Jackson Nelson,WCE,DEF,397600,74,74,0,74,404854,7254,14,71.33,4.75,82.35,66.6,0.27,10.28,6.42,6.59,4.06,1.44,
Dan Hannebery,STK,MID,338500,70,74,0,74,403729,65229,6,93,6.07,35.29,70,0,13.4,8.21,2.83,4.26,0.01,
John Noble,COL,DEF,393300,73.2,74,0,74,403588,10288,15,68,5.17,88.24,69,0.12,9.8,6.99,7.06,4.2,0.65,
Josh Jenkins,GEE,RUC,323400,86,73,0,73,402182,78782,1,85,7.8925,5.88,86,0,12.25,10.67,0.48,5.19,0.01,
Charlie Cameron,BRI,FWD,395400,73.6,73,0,73,401198,5798,17,73.81,3.33,100,70,0.21,10.64,4.51,8,4.26,1.12,
Bradley Hill,STK,MID,354000,65.9,73,0,73,400917,46917,17,61.74,5.27,100,69,0.05,8.9,7.13,8,4.2,0.28,
Brennan Cox,FRE,DEF,433500,80.7,73,0,73,399088,-34412,13,78.92,3.8,76.47,81.8,0.15,11.37,5.14,6.12,4.94,0.81,
Jack Higgins,STK,FWD,419600,78.1,73,0,73,399088,-20512,10,77.1,5,58.82,78.1,0.2,11.11,6.76,4.71,4.73,1.07,
Matthew Kennedy,CAR,MID,437500,81.4,73,0,73,398245,-39255,7,80.43,5.74,41.18,81.4,0.14,11.59,7.76,3.3,4.92,0.75,
Matthew Kennedy,CAR,FWD,437500,81.4,73,0,73,398245,-39255,7,80.43,5.74,41.18,81.4,0.14,11.59,7.76,3.3,4.92,0.75,
Blake Hardwick,HAW,DEF,373100,69.4,73,0,73,398104,25004,16,75.62,4.09,94.12,66,0.06,10.9,5.53,7.53,4.02,0.33,
Dougal Howard,STK,DEF,355200,66.1,73,0,73,397963,42763,17,68.16,3.55,100,79.71,0.16,9.82,4.8,8,4.82,0.86,
Aaron Hall,NME,FWD,392200,73,72,0,72,396838,4638,15,72,4.87,88.24,50.67,0.2,10.37,6.59,7.06,3.13,1.07,
Kamdyn McIntosh,RIC,MID,381500,71,72,0,72,396838,15338,14,69.72,4.67,82.35,71.56,0.17,10.05,6.32,6.59,4.35,0.91,
Connor Rozee,POR,FWD,377200,70.2,72,0,72,396557,19357,14,75.71,4.17,82.35,66.33,0.19,10.91,5.64,6.59,4.04,1.02,
David Zaharakis,ESS,FWD,351400,65.4,72,0,72,396417,45017,10,87.37,4.7,58.82,65.4,0.1,12.59,6.36,4.71,3.99,0.54,
Mitch Wallis,WBD,FWD,379900,70.7,72,0,72,395713,15813,17,85.89,2.98,100,55.4,0.06,12.37,4.03,8,3.41,0.33,
Nathan Wilson,FRE,DEF,395100,73.5,72,0,72,394729,-371,15,73.3,4.56,88.24,70.2,0,10.56,6.17,7.06,4.27,0.01,
Jack Riewoldt,RIC,FWD,344500,64.1,72,0,72,394448,49948,17,82.54,2.84,100,66.22,0.05,11.89,3.84,8,4.04,0.28,
Shaun Burgoyne,HAW,FWD,378600,70.5,72,0,72,393885,15285,13,83.81,3.4,76.47,79,0.08,12.08,4.6,6.12,4.78,0.43,
Bayley Fritsch,MEL,FWD,359300,66.9,72,0,72,393885,34585,16,73.79,3.71,94.12,79.6,0,10.63,5.02,7.53,4.82,0.01,
Ryan Clarke,SYD,MID,407800,75.9,72,0,72,393604,-14196,10,74.9,5.64,58.82,71,0.1,10.79,7.63,4.71,4.32,0.54,
Xavier Duursma,POR,MID,398400,74.2,72,0,72,392620,-5780,13,73.86,4.25,76.47,77.8,0.13,10.64,5.75,6.12,4.71,0.7,
Oscar Allen,WCE,FWD,422100,78.6,71,0,71,390932,-31168,14,76.67,3.07,82.35,75.2,0.27,11.05,4.16,6.59,4.56,1.44,
Patrick Lipinski,WBD,MID,429800,80,71,0,71,389667,-40133,12,76.5,5.24,70.59,64.5,0,11.02,7.09,5.65,3.94,0.01,
Wil Powell,GCS,DEF,358900,66.8,71,0,71,388823,29923,15,65.8,4.6,88.24,74.4,0.07,9.48,6.22,7.06,4.51,0.38,
Luke Brown,ADE,DEF,363400,67.6,71,0,71,387979,24579,17,66.65,4.1,100,67.4,0.06,9.6,5.55,8,4.11,0.33,
David Mackay,ADE,DEF,393300,73.2,71,0,71,386714,-6586,10,72.2,5.49,58.82,82,0,10.4,7.42,4.71,4.96,0.01,
Luke Dahlhaus,GEE,FWD,375200,69.8,70,0,70,386292,11092,12,78.75,4.37,70.59,64,0.12,11.35,5.91,5.65,3.91,0.65,
Levi Casboult,CAR,FWD,349900,65.1,70,0,70,386292,36392,17,71.59,3.16,100,58.6,0.24,10.32,4.28,8,3.59,1.28,
Jack Sinclair,STK,MID,426600,79.4,70,0,70,385870,-40730,10,76.42,4.84,58.82,78.29,0.08,11.01,6.55,4.71,4.74,0.43,
Cameron Rayner,BRI,FWD,392900,73.1,70,0,70,385729,-7171,15,70.65,3.51,88.24,79.2,0.12,10.18,4.75,7.06,4.79,0.65,
Darcy Gardiner,BRI,DEF,362800,67.5,70,0,70,385448,22648,17,66.33,3.96,100,73.83,0,9.56,5.36,8,4.48,0.01,
Eric Hipwood,BRI,FWD,391300,72.8,70,0,70,385307,-5993,17,68.47,3.52,100,68.71,0.11,9.87,4.76,8,4.18,0.59,
Jamie Elliott,COL,MID,362700,67.5,70,0,70,384464,21764,16,69.94,4,94.12,70.83,0,10.08,5.41,7.53,4.31,0.01,
Jamie Elliott,COL,FWD,362700,67.5,70,0,70,384464,21764,16,69.94,4,94.12,70.83,0,10.08,5.41,7.53,4.31,0.01,
Aidan Corr,NME,DEF,381100,70.9,70,0,70,383479,2379,15,69.93,4.02,88.24,59,0.2,10.08,5.44,7.06,3.62,1.07,
Damon Greaves,HAW,DEF,389700,90.7,70,0,70,383198,-6502,3,89.67,5.5,17.65,90.7,0,12.92,7.44,1.42,5.46,0.01,
Mark O'Connor,GEE,DEF,380800,70.9,70,0,70,382776,1976,17,67.9,3.65,100,61.33,0.14,9.78,4.94,8,3.75,0.75,
Stephen Hill,FRE,DEF,338000,62.9,70,0,70,382776,44776,12,81,4.36,70.59,65.4,0,11.67,5.9,5.65,3.99,0.01,
Jarryn Geary,STK,DEF,320400,59.6,70,0,70,382495,62095,14,75.59,3.55,82.35,75.67,0.06,10.89,4.8,6.59,4.59,0.33,
Ben Long,STK,DEF,384100,71.5,70,0,70,382214,-1886,14,68.53,4.2,82.35,71.33,0.13,9.88,5.68,6.59,4.33,0.7,
Liam Jones,CAR,DEF,387500,72.1,70,0,70,381932,-5568,17,71.12,2.82,100,84.2,0,10.25,3.82,8,5.08,0.01,
Ryan Lester,BRI,DEF,380200,70.8,70,0,70,381792,1592,13,71.07,4.22,76.47,77.6,0.07,10.24,5.71,6.12,4.7,0.38,
Rhys Mathieson,BRI,MID,365800,97,69,0,69,378698,12898,1,96,5.01,5.88,97,0,13.83,6.78,0.48,5.83,0.01,
Rhys Mathieson,BRI,FWD,364800,97,69,0,69,378698,13898,1,96,5.01,5.88,97,0,13.83,6.78,0.48,5.83,0.01,
Ben Paton,STK,DEF,344200,64.1,69,0,69,378276,34076,17,60.58,4.27,100,57.57,0.16,8.73,5.78,8,3.53,0.86,
Dylan Grimes,RIC,DEF,382800,71.2,69,0,69,377151,-5649,16,70.5,3.39,94.12,60.88,0.15,10.16,4.59,7.53,3.73,0.81,
Brett Bewley,FRE,MID,388200,72.2,69,0,69,377011,-11189,12,71,4.83,70.59,72.2,0,10.23,6.53,5.65,4.39,0.01,
Brett Bewley,FRE,FWD,388200,72.2,69,0,69,377011,-11189,12,71,4.83,70.59,72.2,0,10.23,6.53,5.65,4.39,0.01,
Lincoln McCarthy,BRI,FWD,354600,66,69,0,69,376448,21848,15,67.71,3.47,88.24,70.4,0.18,9.76,4.7,7.06,4.28,0.97,
Darcy Fort,GEE,RUC,390700,80.8,69,0,69,375886,-14814,5,79.2,5.18,29.41,80.8,0.2,11.41,7,2.36,4.89,1.07,
Esava Ratugolea,GEE,RUC,369400,68.8,69,0,69,375745,6345,12,68.33,4.8825,70.59,68.8,0.08,9.85,6.6,5.65,4.19,0.43,
Brent Daniels,GWS,FWD,356600,66.4,68,0,68,375323,18723,16,65.38,4.06,94.12,69.75,0,9.42,5.49,7.53,4.24,0.01,
Lachie Henderson,GEE,DEF,377700,70.3,68,0,68,375182,-2518,10,74.36,4.21,58.82,79.67,0.14,10.71,5.69,4.71,4.82,0.75,
Callum Ah Chee,BRI,DEF,353300,65.8,68,0,68,374901,21601,16,64.33,4.11,94.12,65.14,0.06,9.27,5.56,7.53,3.97,0.33,
Jason Castagna,RIC,FWD,341000,63.5,68,0,68,374620,33620,17,63.27,3.91,100,64.78,0.05,9.12,5.29,8,3.95,0.28,
Reece Conca,FRE,DEF,370300,68.9,68,0,68,373917,3617,14,67.5,4.74,82.35,63,0,9.73,6.41,6.59,3.85,0.01,
Brody Mihocek,COL,FWD,366000,68.1,68,0,68,373214,7214,16,69.17,2.79,94.12,71.67,0.17,9.97,3.78,7.53,4.35,0.91,
Will Day,HAW,DEF,384400,71.5,68,0,68,373073,-11327,11,70.09,4.97,64.71,74.5,0,10.1,6.72,5.18,4.52,0.01,
Will Hoskin-Elliott,COL,FWD,337500,62.8,68,0,68,372933,35433,16,71.29,3.44,94.12,66.5,0,10.27,4.66,7.53,4.05,0.01,
Lachie Plowman,CAR,DEF,354900,66.1,68,0,68,372511,17611,16,69.74,3.62,94.12,60,0.06,10.05,4.9,7.53,3.68,0.33,
Sam Reid,SYD,FWD,328300,61.1,68,0,68,372370,44070,10,98,2.87,58.82,61.2,0,14.12,3.89,4.71,3.75,0.01,
Jake Kelly,ADE,DEF,309800,57.7,68,0,68,371808,62008,15,73.71,2.95,88.24,72.25,0.07,10.62,3.99,7.06,4.39,0.38,
