helper2,Name,Team,Position,Price,2020_Games,2020_Average,talent,opportunity,durability,form,consistency,manual_weight
Jake LloydSYD,Jake Lloyd,SYD,DEF,656400,17,122.2,122.18,8.82,100,125.4,0.94,0
Luke RyanFRE,Luke Ryan,FRE,DEF,576500,17,107.3,106.71,6.2,100,102.2,0.71,0
Lachie WhitfieldGWS,Lachie Whitfield,GWS,DEF,561600,17,104.5,107.1,7.69,100,117.6,0.59,0
James SicilyHAW,James Sicily,HAW,DEF,552900,11,102.9,104.56,5.66,64.71,102.9,0.45,0
Brayden MaynardCOL,Brayden Maynard,COL,DEF,549900,17,102.4,96.84,5.87,100,89.71,0.53,0
Jordan RidleyESS,Jordan Ridley,ESS,DEF,547700,17,101.9,101.94,5.91,100,97.17,0.59,0
Caleb DanielWBD,Caleb Daniel,WBD,DEF,545500,17,101.5,104.44,6.51,100,118.8,0.56,0
Callum MillsSYD,Callum Mills,SYD,DEF,544800,15,101.4,101.4,6.17,88.24,108,0.53,0
Tom StewartGEE,Tom Stewart,GEE,DEF,538000,14,100.1,101.06,6.16,82.35,110.33,0.67,0
Jack CrispCOL,Jack Crisp,COL,DEF,533200,17,99.2,98.16,6.07,100,108.29,0.42,0
Nick HaynesGWS,Nick Haynes,GWS,DEF,528400,17,98.4,98.35,5.36,100,81.8,0.53,0
Adam SaadCAR,Adam Saad,CAR,DEF,526200,17,97.9,97.94,6.24,100,96.33,0.59,0
Jayden ShortRIC,Jayden Short,RIC,DEF,519300,17,96.6,98.33,6.56,100,99.33,0.43,0
Jeremy HoweCOL,Jeremy Howe,COL,DEF,517900,4,120.5,120.5,6.83,23.53,120.5,0.75,0
Luke McDonaldNME,Luke McDonald,NME,DEF,512900,17,95.5,95.47,6.74,100,114.8,0.41,0
Steven MayMEL,Steven May,MEL,DEF,507900,17,94.5,94.53,5.4,100,110.67,0.53,0
Sam DochertyCAR,Sam Docherty,CAR,DEF,496000,16,92.3,113.46,6.62,94.12,85,0.31,0
Brad SheppardWCE,Brad Sheppard,WCE,DEF,492700,17,91.7,89.89,5.55,100,86.83,0.39,0
Dane RampeSYD,Dane Rampe,SYD,DEF,492300,11,91.6,97.19,5,64.71,91.6,0.36,0
Dan HoustonPOR,Dan Houston,POR,DEF,489300,15,91.1,91.61,5.58,88.24,105.75,0.41,0
Jordan DawsonSYD,Jordan Dawson,SYD,DEF,485700,16,85.4,86.09,5.55,94.12,98,0.31,0
Nick VlastuinRIC,Nick Vlastuin,RIC,DEF,483500,16,90,91.62,4.7,94.12,81.89,0.35,0
Daniel RichBRI,Daniel Rich,BRI,DEF,483100,13,89.9,95.46,6.11,76.47,118.25,0.33,0
Shannon HurnWCE,Shannon Hurn,WCE,DEF,477800,16,88.9,102.74,5.57,94.12,101,0.29,0
Harris AndrewsBRI,Harris Andrews,BRI,DEF,469700,14,87.4,87.56,3.82,82.35,88.75,0.31,0
Christian SalemMEL,Christian Salem,MEL,DEF,469100,16,87.3,90.45,6.34,94.12,92.67,0.38,0
Bachar HouliRIC,Bachar Houli,RIC,DEF,465600,9,86.7,108.17,6.41,52.94,74,0.31,0
Robbie TarrantNME,Robbie Tarrant,NME,DEF,463100,16,86.2,86.19,5.21,94.12,90,0.31,0
Jeremy McGovernWCE,Jeremy McGovern,WCE,DEF,462100,11,86,94.65,4.57,64.71,85.5,0.25,0
Zac WilliamsCAR,Zac Williams,CAR,DEF,458600,11,85.4,101.62,5.66,64.71,75.75,0.36,0
Tom DoedeeADE,Tom Doedee,ADE,DEF,457900,9,85.2,85.22,5.07,52.94,85.2,0.56,0
Alex WitherdenWCE,Alex Witherden,WCE,DEF,456100,6,94.3,94.33,6.86,35.29,69,0.5,0
Bailey WilliamsWBD,Bailey Williams,WBD,DEF,452600,17,84.2,85.39,5.34,100,80.8,0.22,0
Jack BowesGCS,Jack Bowes,GCS,DEF,451300,17,84,84,5.98,100,70.2,0.18,0
Liam DugganWCE,Liam Duggan,WCE,DEF,448600,16,83.5,83.29,5.77,94.12,96,0.29,0
Jason JohannisenWBD,Jason Johannisen,WBD,DEF,448300,16,83.4,93.53,5.07,94.12,75.75,0.24,0
Tom BarrassWCE,Tom Barrass,WCE,DEF,447200,17,83.2,81.22,3.51,100,87,0.28,0
Darcy Byrne-JonesPOR,Darcy Byrne-Jones,POR,DEF,441800,17,82.2,90,5.47,100,86.17,0.16,0
Hunter ClarkSTK,Hunter Clark,STK,DEF,438900,16,81.7,81.28,5.89,94.12,77.33,0.28,0
Brennan CoxFRE,Brennan Cox,FRE,DEF,433500,13,80.7,79.92,3.8,76.47,81.8,0.15,0
Michael HurleyESS,Michael Hurley,ESS,DEF,431400,14,80.3,102.52,5.2,82.35,59,0.14,0
Jack LukosiusGCS,Jack Lukosius,GCS,DEF,430800,17,80.2,80.18,5.73,100,68,0.24,0
Darcy MooreCOL,Darcy Moore,COL,DEF,430200,16,80.1,79.29,4.2,94.12,78.67,0.22,0
Nick CoffieldSTK,Nick Coffield,STK,DEF,426500,16,79.4,79.94,5.21,94.12,85.29,0.17,0
Sam CollinsGCS,Sam Collins,GCS,DEF,422500,17,78.6,78.65,3.61,100,74,0.18,0
Hamish HartlettPOR,Hamish Hartlett,POR,DEF,421900,17,78.5,101.42,4.79,100,73.17,0.16,0
Jake LeverMEL,Jake Lever,MEL,DEF,419400,17,78.1,78.06,3.53,100,83.5,0.18,0
Liam BakerRIC,Liam Baker,RIC,DEF,419100,16,78,76.2,5.12,94.12,75.78,0.1,0
Nic NewmanCAR,Nic Newman,CAR,DEF,415400,2,23.5,99.27,2.67,11.76,23.5,0,0
Jacob WeiteringCAR,Jacob Weitering,CAR,DEF,410400,17,74.7,74.71,3.93,100,84.4,0.18,0
Harry CunninghamSYD,Harry Cunningham,SYD,DEF,410400,17,74.7,80.33,5.08,100,73,0.06,0
Hayden CrozierWBD,Hayden Crozier,WBD,DEF,409100,14,76.1,78.05,4.5,82.35,79.67,0.33,0
Callum WilkieSTK,Callum Wilkie,STK,DEF,409000,17,76.1,73.47,4.32,100,65,0.16,0
Isaac QuaynorCOL,Isaac Quaynor,COL,DEF,405300,9,75.4,72.18,4.27,52.94,78.5,0.09,0
Shaun AtleyNME,Shaun Atley,NME,DEF,404200,17,75.2,75.24,5.25,100,64,0.12,0
Sam Petrevski-SetonCAR,Sam Petrevski-Seton,CAR,DEF,401400,16,74.7,83.17,4.82,94.12,81,0.31,0
David AstburyRIC,David Astbury,RIC,DEF,400400,5,82.8,70.81,4.25,29.41,35,0,0
Jack ScrimshawHAW,Jack Scrimshaw,HAW,DEF,399600,13,74.4,74.31,4.93,76.47,84.4,0.08,0
Jackson NelsonWCE,Jackson Nelson,WCE,DEF,397600,14,74,72.33,4.75,82.35,66.6,0.27,0
Nathan WilsonFRE,Nathan Wilson,FRE,DEF,395100,15,73.5,79.3,4.56,88.24,70.2,0,0
David MackayADE,David Mackay,ADE,DEF,393300,10,73.2,82.1,5.49,58.82,82,0,0
John NobleCOL,John Noble,COL,DEF,393300,15,73.2,69,5.17,88.24,69,0.12,0
Damon GreavesHAW,Damon Greaves,HAW,DEF,389700,3,90.7,90.67,5.5,17.65,90.7,0,0
Trent McKenziePOR,Trent McKenzie,POR,DEF,388300,15,72.3,110,3.75,88.24,72.83,0,0
Liam JonesCAR,Liam Jones,CAR,DEF,387500,17,72.1,77.5,2.82,100,84.2,0,0
Robbie FoxSYD,Robbie Fox,SYD,DEF,385700,14,71.8,71.79,3.51,82.35,63.8,0.14,0
Will DayHAW,Will Day,HAW,DEF,384400,11,71.5,71.09,4.97,64.71,74.5,0,0
Ben LongSTK,Ben Long,STK,DEF,384100,14,71.5,69.53,4.2,82.35,71.33,0.13,0
Dylan GrimesRIC,Dylan Grimes,RIC,DEF,382800,16,71.2,77.89,3.39,94.12,60.88,0.15,0
Ethan HughesFRE,Ethan Hughes,FRE,DEF,381800,17,71.1,71,4.26,100,87.2,0.06,0
Aidan CorrNME,Aidan Corr,NME,DEF,381100,15,70.9,70.93,4.02,88.24,59,0.2,0
Mark O'ConnorGEE,Mark O'Connor,GEE,DEF,380800,17,70.9,68.9,3.65,100,61.33,0.14,0
Jack MadgenCOL,Jack Madgen,COL,DEF,380500,11,70.8,68.15,3.79,64.71,68.71,0.15,0
Ryan LesterBRI,Ryan Lester,BRI,DEF,380200,13,70.8,78.64,4.22,76.47,77.6,0.07,0
Michael HibberdMEL,Michael Hibberd,MEL,DEF,378000,14,70.4,100.1,5.16,82.35,65,0.07,0
Lachie HendersonGEE,Lachie Henderson,GEE,DEF,377700,10,70.3,79.38,4.21,58.82,79.67,0.14,0
Grant BirchallBRI,Grant Birchall,BRI,DEF,375300,14,69.9,67.5,4.54,82.35,62.2,0,0
Tom JonasPOR,Tom Jonas,POR,DEF,373600,17,69.5,86.78,3.51,100,69.33,0.21,0
Noah BaltaRIC,Noah Balta,RIC,DEF,373600,13,69.5,67.12,3.73,76.47,67.11,0.12,0
Blake HardwickHAW,Blake Hardwick,HAW,DEF,373100,16,69.4,78.62,4.09,94.12,66,0.06,0
Lachlan KeeffeGWS,Lachlan Keeffe,GWS,DEF,372800,13,69.4,69.38,2.99,76.47,78.2,0.08,0
Cale HookerESS,Cale Hooker,ESS,DEF,372700,8,69.4,90.71,3.68,47.06,69.4,0,0
Jake CarlisleSTK,Jake Carlisle,STK,DEF,372500,12,69.3,80.11,3.84,70.59,58.5,0.08,0
Reece ConcaFRE,Reece Conca,FRE,DEF,370300,14,68.9,68.5,4.74,82.35,63,0,0
Andrew McPhersonADE,Andrew McPherson,ADE,DEF,368300,9,68.6,68.56,4.48,52.94,83.5,0,0
Tom ColeWCE,Tom Cole,WCE,DEF,364600,14,67.9,66.27,3.66,82.35,63.17,0,0
Luke BrownADE,Luke Brown,ADE,DEF,363400,17,67.6,69.96,4.1,100,67.4,0.06,0
Darcy GardinerBRI,Darcy Gardiner,BRI,DEF,362800,17,67.5,71.05,3.96,100,73.83,0,0
Wil PowellGCS,Wil Powell,GCS,DEF,358900,15,66.8,66.8,4.6,88.24,74.4,0.07,0
Dougal HowardSTK,Dougal Howard,STK,DEF,355200,17,66.1,69.16,3.55,100,79.71,0.16,0
Lachie PlowmanCAR,Lachie Plowman,CAR,DEF,354900,16,66.1,72.74,3.62,94.12,60,0.06,0
Daniel TaliaADE,Daniel Talia,ADE,DEF,354600,14,66,79.77,3.14,82.35,44.5,0.14,0
Taylin DumanFRE,Taylin Duman,FRE,DEF,354600,15,66,70.2,3.8,88.24,68.8,0.07,0
Callum Ah CheeBRI,Callum Ah Chee,BRI,DEF,353300,16,65.8,65.33,4.11,94.12,65.14,0.06,0
Trent RiversMEL,Trent Rivers,MEL,DEF,350400,9,65.2,65.22,4.61,52.94,86,0.11,0
Nathan BroadRIC,Nathan Broad,RIC,DEF,349200,13,65,64.25,3.77,76.47,58.75,0.06,0
James HarmesMEL,James Harmes,MEL,DEF,344700,13,64.2,94.96,4.98,76.47,78.5,0.08,0
Ben PatonSTK,Ben Paton,STK,DEF,344200,17,64.1,61.58,4.27,100,57.57,0.16,0
Sam MayesPOR,Sam Mayes,POR,DEF,342500,6,70.8,70.83,4.43,35.29,70.8,0.33,0
Jed BewsGEE,Jed Bews,GEE,DEF,341800,16,63.6,60.9,3.51,94.12,62,0.05,0
Griffin LogueFRE,Griffin Logue,FRE,DEF,339400,5,70.2,70.2,3.27,29.41,70.2,0.4,0
Stephen HillFRE,Stephen Hill,FRE,DEF,338000,12,62.9,96,4.36,70.59,65.4,0,0
Tom ClureyPOR,Tom Clurey,POR,DEF,335500,16,62.4,73.48,3.17,94.12,50.2,0.06,0
Ben McKayNME,Ben McKay,NME,DEF,333600,11,62.1,62.09,3.09,64.71,57.8,0,0
Josh RothamWCE,Josh Rotham,WCE,DEF,331500,10,61.7,63.25,3.74,58.82,53.6,0,0
Mason RedmanESS,Mason Redman,ESS,DEF,330200,13,61.5,81.5,4.04,76.47,51.33,0,0
Jake KolodjashnijGEE,Jake Kolodjashnij,GEE,DEF,330200,13,61.5,67.22,3.35,76.47,57.88,0.06,0
Josh WalkerNME,Josh Walker,NME,DEF,329600,17,61.4,61.35,3.57,100,46.6,0.06,0
Jack HenryGEE,Jack Henry,GEE,DEF,325500,17,60.6,64.19,3.14,100,64.44,0.05,0
Lewis MelicanSYD,Lewis Melican,SYD,DEF,324700,9,60.4,64.33,3.38,52.94,59.4,0.11,0
Matt GuelfiESS,Matt Guelfi,ESS,DEF,324300,11,60.4,61.4,4.18,64.71,65.67,0,0
Alex KeathWBD,Alex Keath,WBD,DEF,323900,17,60.3,59.83,3.21,100,55.2,0.06,0
Sam TaylorGWS,Sam Taylor,GWS,DEF,323400,4,67,67,2.68,23.53,67,0,0
Aliir AliirPOR,Aliir Aliir,POR,DEF,321200,14,59.8,80.5,3.29,82.35,70,0,0
Lachie AshGWS,Lachie Ash,GWS,DEF,320600,12,59.7,59.67,3.8,70.59,87.5,0,0
Jarryn GearySTK,Jarryn Geary,STK,DEF,320400,14,59.6,81.59,3.55,82.35,75.67,0.06,0
Aaron FrancisESS,Aaron Francis,ESS,DEF,320300,8,59.6,80.8,3.27,47.06,59.6,0,0
Ryan BurtonPOR,Ryan Burton,POR,DEF,318800,6,59.3,74,4.09,35.29,15,0.12,0
Riley BonnerPOR,Riley Bonner,POR,DEF,318200,9,59.2,76.67,4.39,52.94,51,0,0
Michael HartleyHAW,Michael Hartley,HAW,DEF,317800,2,84.5,84.5,4.45,11.76,84.5,0,0
Oleg MarkovGCS,Oleg Markov,GCS,DEF,314300,6,65,65,3.91,35.29,70,0,0
Kyle HartiganHAW,Kyle Hartigan,HAW,DEF,314300,12,58.5,58.5,0,0.7058823529411765,58.5,0,0
Zaine CordyWBD,Zaine Cordy,WBD,DEF,313700,13,58.4,64.47,2.72,76.47,34,0,0
Tom WilliamsonCAR,Tom Williamson,CAR,DEF,313400,15,58.3,58.33,3.75,88.24,59.8,0,0
Wayne MileraADE,Wayne Milera,ADE,DEF,312200,2,83,83,5.31,11.76,83,0,0
Jordan RougheadCOL,Jordan Roughead,COL,DEF,311300,15,57.9,62.73,2.95,88.24,58.33,0,0
Jake KellyADE,Jake Kelly,ADE,DEF,309800,15,57.7,76.71,2.95,88.24,72.25,0.07,0
Jarrod HarbrowGCS,Jarrod Harbrow,GCS,DEF,309100,13,57.5,83.42,4.34,76.47,43.5,0,0
Charlie BallardGCS,Charlie Ballard,GCS,DEF,307600,16,57.2,61.91,3.46,94.12,53.4,0,0
Brandon StarcevichBRI,Brandon Starcevich,BRI,DEF,307300,16,57.2,56.67,3.34,94.12,60.67,0.06,0
Sam FrostHAW,Sam Frost,HAW,DEF,304900,16,56.8,56.5,3.26,94.12,46.25,0,0
Noah AnswerthBRI,Noah Answerth,BRI,DEF,304500,9,56.7,60.9,3.78,52.94,53.5,0,0
Tobe WatsonFRE,Tobe Watson,FRE,DEF,303700,3,70.7,70.67,3.33,17.65,70.7,0,0
Marty HoreMEL,Marty Hore,MEL,DEF,303600,0,0,70.64,0,0,0,0,0
Easton WoodWBD,Easton Wood,WBD,DEF,297700,12,55.4,86.04,3.08,70.59,37.67,0.08,0
Sam J. ReidGWS,Sam J. Reid,GWS,DEF,297300,3,30.3,30.3,0,0.17647058823529413,30.3,0,0
James FrawleySTK,James Frawley,STK,DEF,295900,14,55.1,68.36,2.77,82.35,61,0,0
Martin GleesonESS,Martin Gleeson,ESS,DEF,293400,13,54.6,71.39,3.56,76.47,45.8,0,0
Phil DavisGWS,Phil Davis,GWS,DEF,290700,10,54.1,78.14,2.81,58.82,54.1,0.1,0
Bryce GibbsADE,Bryce Gibbs,ADE,DEF,290100,3,60,96.96,5.43,17.65,60,0,0
Jay LockhartMEL,Jay Lockhart,MEL,DEF,289600,10,53.9,53.9,2.97,58.82,53.9,0,0
Jarrod LienertPOR,Jarrod Lienert,POR,DEF,289200,5,59.8,82.14,4.08,29.41,59.8,0,0
Isaac CummingGWS,Isaac Cumming,GWS,DEF,288000,3,67,67,3.91,17.65,67,0,0
Caleb GrahamGCS,Caleb Graham,GCS,DEF,284800,7,53,54.67,2.5,41.18,57.67,0,0
Kyron HaydenNME,Kyron Hayden,NME,DEF,281400,8,52.4,52.38,3.29,47.06,52.4,0.12,0
Hayden YoungFRE,Hayden Young,FRE,DEF,279400,5,52,52,3.33,29.41,52,0.2,0
Caleb MarchbankCAR,Caleb Marchbank,CAR,DEF,275400,0,0,68,0,0,0,0,0
Jimmy WebsterSTK,Jimmy Webster,STK,DEF,274000,0,0,88.26,0,0,0,0,0
Joel HamlingFRE,Joel Hamling,FRE,DEF,271000,0,0,71.5,0,0,0,0,0
Colin O'RiordanSYD,Colin O'Riordan,SYD,DEF,268000,8,49.9,66,3.24,47.06,49.9,0,0
Changkuoth JiathHAW,Changkuoth Jiath,HAW,DEF,266500,5,49.6,67.5,3.05,29.41,43.5,0,0
Connor BudarickGCS,Connor Budarick,GCS,DEF,256500,15,47.7,47.73,3.22,88.24,45.33,0,0
Brandon Zerk-ThatcherESS,Brandon Zerk-Thatcher,ESS,DEF,255200,10,47.5,58,2.71,58.82,44.6,0,0
Jack PayneBRI,Jack Payne,BRI,DEF,255100,4,52.8,60.8,2.79,23.53,56,0,0
Jordan MurdochGCS,Jordan Murdoch,GCS,DEF,253000,0,0,58.86,0,0,0,0,0
Marcus AdamsBRI,Marcus Adams,BRI,DEF,250400,1,28,54.8,1.79,5.88,28,0,0
Aiden BonarNME,Aiden Bonar,NME,DEF,245400,6,45.7,45.67,2.94,35.29,45.7,0,0
Kaiden BrandSYD,Kaiden Brand,SYD,DEF,245000,2,57,57,3.07,11.76,57,0,0
Alex PearceFRE,Alex Pearce,FRE,DEF,235600,0,0,60.12,0,0,0,0,0
Ryan GardnerWBD,Ryan Gardner,WBD,DEF,232800,9,43.3,46.5,2.45,52.94,56.2,0,0
Jack HombschGCS,Jack Hombsch,GCS,DEF,230200,0,0,53.56,0,0,0,0,0
Daniel McKenzieSTK,Daniel McKenzie,STK,DEF,222300,0,0,65.27,0,0,0,0,0
Patrick AmbroseESS,Patrick Ambrose,ESS,DEF,217800,0,0,59.88,0,0,0,0,0
Connor IdunGWS,Connor Idun,GWS,DEF,214900,2,50,50,2.85,11.76,50,0,0
Joel SmithMEL,Joel Smith,MEL,DEF,211100,7,39.3,56.12,1.83,41.18,27,0,0
Will HamillADE,Will Hamill,ADE,DEF,210900,8,39.2,39.25,3.01,47.06,39.2,0,0
Chris BurgessGCS,Chris Burgess,GCS,DEF,210000,0,0,48,0,0,0,0,0
Connor MenadueNME,Connor Menadue,NME,DEF,201500,0,0,0,0,0,0,0,0
Jake SteinGWS,Jake Stein,GWS,DEF,200100,0,0,53.2,0,0,0,0,0
Lewis YoungWBD,Lewis Young,WBD,DEF,198300,0,0,65.5,1.29,5.88,0,0,0
Flynn PerezNME,Flynn Perez,NME,DEF,193400,3,45,45,3.11,17.65,45,0,0
Louis ButlerWBD,Louis Butler,WBD,DEF,191800,2,51,51,4.84,11.76,51,0,0
Joel GarnerPOR,Joel Garner,POR,DEF,189900,0,0,50.5,0,0,0,0,0
Ryan GarthwaiteRIC,Ryan Garthwaite,RIC,DEF,188000,0,0,61,0,0,0,0,0
Liam StockerCAR,Liam Stocker,CAR,DEF,186500,0,0,49.6,0,0,0,0,0
Neville JettaMEL,Neville Jetta,MEL,DEF,186300,6,34.7,68.21,2.08,35.29,34.7,0,0
Denver Grainger-BarrasHAW,Denver Grainger-Barras,HAW,DEF,184800,0,0,0,0,0,0,0,0
Tyson GoldsackPOR,Tyson Goldsack,POR,DEF,182000,0,0,0,0,0,0,0,0
Darragh JoyceSTK,Darragh Joyce,STK,DEF,177300,0,0,55,0,0,0,0,0
Jordon ButtsADE,Jordon Butts,ADE,DEF,176800,2,47,47,2.48,11.76,47,0,0
Zach ReidESS,Zach Reid,ESS,DEF,166800,0,0,0,0,0,0,0,0
Matthew LingSYD,Matthew Ling,SYD,DEF,163000,3,30.3,30.3,0,0.17647058823529413,30.3,0,0
Mark KeaneCOL,Mark Keane,COL,DEF,158000,1,42,42,2.22,5.88,42,0,0
Heath ChapmanFRE,Heath Chapman,FRE,DEF,148800,0,0,0,0,0,0,0,0
Lachlan JonesPOR,Lachlan Jones,POR,DEF,139800,0,0,0,0,0,0,0,0
Dylan RobertonSTK,Dylan Roberton,STK,DEF,139700,1,26,92.12,2.74,5.88,26,0,0
Luke FoleyWCE,Luke Foley,WCE,DEF,127900,1,34,34,1.05,5.88,34,0,0
Harry EdwardsWCE,Harry Edwards,WCE,DEF,123900,1,10,10,1.05,5.88,10,0,0
Jaxon PriorBRI,Jaxon Prior,BRI,DEF,123900,0,0,0,0,0,0,0,0
Brock SmithBRI,Brock Smith,BRI,DEF,123900,0,0,0,0,0,0,0,0
Nathan MurphyCOL,Nathan Murphy,COL,DEF,123900,0,0,38.5,0,0,0,0,0
Cian McBrideESS,Cian McBride,ESS,DEF,123900,0,0,0,0,0,0,0,0
Leno ThomasFRE,Leno Thomas,FRE,DEF,123900,0,0,0,0,0,0,0,0
Sam De KoningGEE,Sam De Koning,GEE,DEF,123900,0,0,0,0,0,0,0,0
Stefan OkunborGEE,Stefan Okunbor,GEE,DEF,123900,0,0,0,0,0,0,0,0
Jez McLennanGCS,Jez McLennan,GCS,DEF,123900,0,0,0,0,0,0,0,0
Rory ThompsonGCS,Rory Thompson,GCS,DEF,123900,0,0,69.61,0,0,0,0,0
Luke ToweyGCS,Luke Towey,GCS,DEF,123900,0,0,0,0,0,0,0,0
Callum M. BrownGWS,Callum M. Brown,GWS,DEF,123900,0,0,0,0,0,0,0,0
Jacob KoschitzkeHAW,Jacob Koschitzke,HAW,DEF,123900,0,0,0,0,0,0,0,0
Harry PepperHAW,Harry Pepper,HAW,DEF,123900,0,0,0,0,0,0,0,0
Matt McGuinnessNME,Matt McGuinness,NME,DEF,123900,0,0,0,0,0,0,0,0
Martin FrederickPOR,Martin Frederick,POR,DEF,123900,0,0,0,0,0,0,0,0
Jake PasiniPOR,Jake Pasini,POR,DEF,123900,0,0,0,0,0,0,0,0
Ben MillerRIC,Ben Miller,RIC,DEF,123900,0,0,0,0,0,0,0,0
Oscar ClavarinoSTK,Oscar Clavarino,STK,DEF,123900,0,0,0,0,0,0,0,0
Will GouldSYD,Will Gould,SYD,DEF,123900,0,0,0,0,0,0,0,0
Ben JohnsonWCE,Ben Johnson,WCE,DEF,123900,0,0,0,0,0,0,0,0
Buku KhamisWBD,Buku Khamis,WBD,DEF,123900,0,0,0,0,0,0,0,0
Cody BrandESS,Cody Brand,ESS,DEF,117300,0,0,0,0,0,0,0,0
Brandon WalkerFRE,Brandon Walker,FRE,DEF,117300,0,0,0,0,0,0,0,0
Cameron FleetonGWS,Cameron Fleeton,GWS,DEF,117300,0,0,0,0,0,0,0,0
Jacob WehrGWS,Jacob Wehr,GWS,DEF,117300,0,0,0,0,0,0,0,0
Thomas HighmoreSTK,Thomas Highmore,STK,DEF,117300,0,0,0,0,0,0,0,0
Nick StevensGEE,Nick Stevens,GEE,DEF,117200,0,0,0,0,0,0,0,0
James BorlaseADE,James Borlase,ADE,DEF,102400,0,0,0,0,0,0,0,0
Deividas UosisBRI,Deividas Uosis,BRI,DEF,102400,0,0,0,0,0,0,0,0
Luke ParksCAR,Luke Parks,CAR,DEF,102400,0,0,0,0,0,0,0,0
Joel JeffreyGCS,Joel Jeffrey,GCS,DEF,102400,0,0,0,0,0,0,0,0
