helper2,Name,Team,Position,Price,2020_Games,2020_Average,talent,opportunity,durability,form,consistency,manual_weight
Rhys NichollsGCS,Rhys Nicholls,GCS,DEF,102400,0,0,0,0,0,0,0,0
Will ShawGWS,Will Shaw,GWS,DEF,102400,0,0,0,0,0,0,0,0
Patrick WalkerNME,Patrick Walker,NME,DEF,102400,0,0,0,0,0,0,0,0
Malachy CarruthersSYD,Malachy Carruthers,SYD,DEF,102400,0,0,0,0,0,0,0,0
Taylor DuryeaWBD,Taylor Duryea,WBD,FWD,342200,2,91,85.33,5.06,11.76,91,0,0
Orazio FantasiaPOR,Orazio Fantasia,POR,FWD,271800,5,56.2,81.67,3.24,29.41,56.2,0,0
Harrison PettyMEL,Harrison Petty,MEL,FWD,228200,0,0,0,0,0,0,0,0
Matt BuntineGWS,Matt Buntine,GWS,FWD,225900,0,0,70.86,0,0,0,0,0
Fischer McaseyADE,Fischer Mcasey,ADE,FWD,199300,10,37.1,37.1,2.27,58.82,37.1,0,0
Nikolas CoxESS,Nikolas Cox,ESS,FWD,175800,0,0,0,0,0,0,0,0
Ben JarvisGEE,Ben Jarvis,GEE,FWD,139200,1,37,37,1.61,5.88,37,0,0
Josh WorrellADE,Josh Worrell,ADE,FWD,123900,0,0,0,0,0,0,0,0
James MaddenBRI,James Madden,BRI,FWD,123900,0,0,0,0,0,0,0,0
Ross McQuillanESS,Ross McQuillan,ESS,FWD,123900,0,0,0,0,0,0,0,0
Kieren BriggsGWS,Kieren Briggs,GWS,FWD,123900,0,0,0,0,0,0,0,0
Barry O'ConnorSYD,Barry O'Connor,SYD,FWD,123900,0,0,0,0,0,0,0,0
Joshua EyreESS,Joshua Eyre,ESS,FWD,117300,0,0,0,0,0,0,0,0
Bailey LaurieMEL,Bailey Laurie,MEL,FWD,117300,0,0,0,0,0,0,0,0
Isaac ChuggCOL,Isaac Chugg,COL,FWD,102400,0,0,0,0,0,0,0,0
Taylor DuryeaWBD,Taylor Duryea,WBD,DEF,342200,2,91,85.33,5.06,11.76,91,0,0
Orazio FantasiaPOR,Orazio Fantasia,POR,DEF,271800,5,56.2,81.67,3.24,29.41,56.2,0,0
Harrison PettyMEL,Harrison Petty,MEL,DEF,228200,0,0,0,0,0,0,0,0
Matt BuntineGWS,Matt Buntine,GWS,DEF,225900,0,0,70.86,0,0,0,0,0
Fischer McaseyADE,Fischer Mcasey,ADE,DEF,199300,10,37.1,37.1,2.27,58.82,37.1,0,0
Nikolas CoxESS,Nikolas Cox,ESS,DEF,175800,0,0,0,0,0,0,0,0
Ben JarvisGEE,Ben Jarvis,GEE,DEF,139200,1,37,37,1.61,5.88,37,0,0
Josh WorrellADE,Josh Worrell,ADE,DEF,123900,0,0,0,0,0,0,0,0
James MaddenBRI,James Madden,BRI,DEF,123900,0,0,0,0,0,0,0,0
Ross McQuillanESS,Ross McQuillan,ESS,DEF,123900,0,0,0,0,0,0,0,0
Kieren BriggsGWS,Kieren Briggs,GWS,DEF,123900,0,0,0,0,0,0,0,0
Barry O'ConnorSYD,Barry O'Connor,SYD,DEF,123900,0,0,0,0,0,0,0,0
Joshua EyreESS,Joshua Eyre,ESS,DEF,117300,0,0,0,0,0,0,0,0
Bailey LaurieMEL,Bailey Laurie,MEL,DEF,117300,0,0,0,0,0,0,0,0
Rory LairdADE,Rory Laird,ADE,DEF,564800,17,105.1,106.32,8.1,100,117.6,0.53,0
Mark BlicavsGEE,Mark Blicavs,GEE,DEF,531600,17,98.9,104.65,4.03,100,95.56,0.43,0
Brodie SmithADE,Brodie Smith,ADE,DEF,438200,16,81.6,91.79,6.08,94.12,82.5,0.31,0
Harry MorrisonHAW,Harry Morrison,HAW,DEF,358500,11,66.7,79,4.5,64.71,71,0.09,0
Lachlan ShollADE,Lachlan Sholl,ADE,DEF,343200,8,63.9,63.88,4.65,47.06,71.2,0.12,0
Adam TomlinsonMEL,Adam Tomlinson,MEL,DEF,324000,13,60.3,60.31,4.2,76.47,67.17,0,0
Daniel HoweHAW,Daniel Howe,HAW,DEF,280500,5,58,75,3.37,29.41,50.5,0,0
Jordan ClarkGEE,Jordan Clark,GEE,DEF,241800,3,50,61.7,4.08,17.65,50,0,0
Jack BuckleyGWS,Jack Buckley,GWS,DEF,223800,2,59.5,59.5,3.18,11.76,59.5,0,0
Lachie YoungNME,Lachie Young,NME,DEF,202000,2,47,47,2.9,11.76,47,0,0
Zach GuthrieGEE,Zach Guthrie,GEE,DEF,180500,3,42,50,3.44,17.65,42,0,0
Lachlan GollantADE,Lachlan Gollant,ADE,DEF,123900,0,0,0,0,0,0,0,0
Trent BiancoCOL,Trent Bianco,COL,DEF,123900,0,0,0,0,0,0,0,0
Leo ConnollySTK,Leo Connolly,STK,DEF,123900,0,0,0,0,0,0,0,0
Harry SharpBRI,Harry Sharp,BRI,DEF,117300,0,0,0,0,0,0,0,0
Isiah WinderWCE,Isiah Winder,WCE,DEF,117300,0,0,0,0,0,0,0,0
Aiden FyfeGCS,Aiden Fyfe,GCS,DEF,102400,0,0,0,0,0,0,0,0
Isaac ChuggCOL,Isaac Chugg,COL,DEF,102400,0,0,0,0,0,0,0,0
Rory LairdADE,Rory Laird,ADE,MID,564800,17,105.1,106.32,8.1,100,117.6,0.53,0
Mark BlicavsGEE,Mark Blicavs,GEE,MID,531600,17,98.9,104.65,4.03,100,95.56,0.43,0
Brodie SmithADE,Brodie Smith,ADE,MID,438200,16,81.6,91.79,6.08,94.12,82.5,0.31,0
Harry MorrisonHAW,Harry Morrison,HAW,MID,358500,11,66.7,79,4.5,64.71,71,0.09,0
Lachlan ShollADE,Lachlan Sholl,ADE,MID,343200,8,63.9,63.88,4.65,47.06,71.2,0.12,0
Adam TomlinsonMEL,Adam Tomlinson,MEL,MID,324000,13,60.3,60.31,4.2,76.47,67.17,0,0
Daniel HoweHAW,Daniel Howe,HAW,MID,280500,5,58,75,3.37,29.41,50.5,0,0
Jordan ClarkGEE,Jordan Clark,GEE,MID,241800,3,50,61.7,4.08,17.65,50,0,0
Jack BuckleyGWS,Jack Buckley,GWS,MID,223800,2,59.5,59.5,3.18,11.76,59.5,0,0
Lachie YoungNME,Lachie Young,NME,MID,202000,2,47,47,2.9,11.76,47,0,0
Zach GuthrieGEE,Zach Guthrie,GEE,MID,180500,3,42,50,3.44,17.65,42,0,0
Lachlan GollantADE,Lachlan Gollant,ADE,MID,123900,0,0,0,0,0,0,0,0
Trent BiancoCOL,Trent Bianco,COL,MID,123900,0,0,0,0,0,0,0,0
Leo ConnollySTK,Leo Connolly,STK,MID,123900,0,0,0,0,0,0,0,0
Harry SharpBRI,Harry Sharp,BRI,MID,117300,0,0,0,0,0,0,0,0
Isiah WinderWCE,Isiah Winder,WCE,MID,117300,0,0,0,0,0,0,0,0
Aiden FyfeGCS,Aiden Fyfe,GCS,MID,102400,0,0,0,0,0,0,0,0
Ben McEvoyHAW,Ben McEvoy,HAW,DEF,456000,16,84.9,100.79,2.8,94.12,79.75,0.25,0
Bigoa NyuonRIC,Bigoa Nyuon,RIC,DEF,123900,0,0,0,0,0,0,0,0
Ben McEvoyHAW,Ben McEvoy,HAW,RUC,456000,16,84.9,100.79,2.8,94.12,79.75,0.25,0
Bigoa NyuonRIC,Bigoa Nyuon,RIC,RUC,123900,0,0,0,0,0,0,0,0
Tom HawkinsGEE,Tom Hawkins,GEE,FWD,568600,17,105.8,106.43,3.97,100,101.89,0.57,0
Charlie DixonPOR,Charlie Dixon,POR,FWD,498700,16,92.8,90.52,3.06,94.12,87.83,0.33,0
Robbie GrayPOR,Robbie Gray,POR,FWD,491100,17,91.4,111.15,5.37,100,104.67,0.32,0
Zak ButtersPOR,Zak Butters,POR,FWD,471400,15,87.7,85.82,4.73,88.24,83.75,0.35,0
Isaac HeeneySYD,Isaac Heeney,SYD,FWD,454500,6,94,96.38,4.9,35.29,94,0.33,0
Chad WingardHAW,Chad Wingard,HAW,FWD,452300,17,84.2,84.18,4.67,100,80.4,0.29,0
Toby GreeneGWS,Toby Greene,GWS,FWD,448400,13,83.5,102.93,5.31,76.47,61,0.31,0
Jack MartinCAR,Jack Martin,CAR,FWD,446300,15,83.1,83.07,4.81,88.24,53,0.33,0
Kane LambertRIC,Kane Lambert,RIC,FWD,445900,16,83,89.04,5.38,94.12,78,0.25,0
Jack GunstonHAW,Jack Gunston,HAW,FWD,438200,16,81.6,96,3.57,94.12,94.25,0.19,0
Jordan De GoeyCOL,Jordan De Goey,COL,FWD,435200,8,81,85.67,4.26,47.06,52,0.1,0
Jack DarlingWCE,Jack Darling,WCE,FWD,434900,17,80.9,88,3.28,100,85,0.28,0
Tom PapleySYD,Tom Papley,SYD,FWD,428600,17,79.8,80.05,4.02,100,74.2,0.24,0
Luke BreustHAW,Luke Breust,HAW,FWD,428100,13,81.5,89.62,3.44,76.47,88,0.15,0
Oscar AllenWCE,Oscar Allen,WCE,FWD,422100,14,78.6,77.67,3.07,82.35,75.2,0.27,0
Jack HigginsSTK,Jack Higgins,STK,FWD,419600,10,78.1,78.1,5,58.82,78.1,0.2,0
Dan ButlerSTK,Dan Butler,STK,FWD,416900,17,77.7,77.21,3.73,100,72.57,0.26,0
Liam RyanWCE,Liam Ryan,WCE,FWD,409600,17,76.2,78.33,3.76,100,106.5,0.39,0
Tom LynchADE,Tom Lynch,ADE,FWD,407900,13,75.9,89.12,6.04,76.47,93,0.15,0
Ben AinsworthGCS,Ben Ainsworth,GCS,FWD,406300,16,75.6,75.62,4.97,94.12,88.5,0.12,0
Matt TabernerFRE,Matt Taberner,FRE,FWD,403000,16,75,75,0,0.9411764705882353,75,0,0
Michael GibbonsCAR,Michael Gibbons,CAR,FWD,401500,15,74.7,74.73,4.91,88.24,61.33,0.2,0
Charlie CameronBRI,Charlie Cameron,BRI,FWD,395400,17,73.6,76.81,3.33,100,70,0.21,0
Zac FisherCAR,Zac Fisher,CAR,FWD,394200,8,73.4,73.38,4.76,47.06,59.5,0.12,0
Cameron RaynerBRI,Cameron Rayner,BRI,FWD,392900,15,73.1,71.65,3.51,88.24,79.2,0.12,0
Gary RohanGEE,Gary Rohan,GEE,FWD,392200,15,73,70.26,2.8,88.24,68.43,0.21,0
Aaron HallNME,Aaron Hall,NME,FWD,392200,15,73,73.5,4.87,88.24,50.67,0.2,0
Eric HipwoodBRI,Eric Hipwood,BRI,FWD,391300,17,72.8,69.47,3.52,100,68.71,0.11,0
Jeremy CameronGEE,Jeremy Cameron,GEE,FWD,388100,17,72.2,91,3.47,100,77.4,0.18,0
Gryan MiersGEE,Gryan Miers,GEE,FWD,387100,17,72.1,71.57,4.39,100,68.67,0.14,0
Mitch WallisWBD,Mitch Wallis,WBD,FWD,379900,17,70.7,99.23,2.98,100,55.4,0.06,0
Shaun BurgoyneHAW,Shaun Burgoyne,HAW,FWD,378600,13,70.5,100.72,3.4,76.47,79,0.08,0
Todd MarshallPOR,Todd Marshall,POR,FWD,377400,12,70.2,64.14,2.57,70.59,32.67,0.14,0
Connor RozeePOR,Connor Rozee,POR,FWD,377200,14,70.2,78.71,4.17,82.35,66.33,0.19,0
Luke DahlhausGEE,Luke Dahlhaus,GEE,FWD,375200,12,69.8,81.75,4.37,70.59,64,0.12,0
Jamie CrippsWCE,Jamie Cripps,WCE,FWD,373600,13,69.5,81.48,4.17,76.47,99,0.14,0
Izak RankineGCS,Izak Rankine,GCS,FWD,371600,12,69.2,69.17,4.03,70.59,61.4,0.25,0
Anthony McDonald-TipungwutiESS,Anthony McDonald-Tipungwuti,ESS,FWD,370400,17,68.9,74.08,2.86,100,69.83,0.06,0
Will SnellingESS,Will Snelling,ESS,FWD,368500,17,68.6,78.25,4.32,100,66,0.06,0
Tom J. LynchRIC,Tom J. Lynch,RIC,FWD,366700,16,68.3,68.3,0,0.9411764705882353,68.3,0,0
Toby McLeanWBD,Toby McLean,WBD,FWD,366700,12,68.2,95.08,4.44,70.59,65.33,0.08,0
Brody MihocekCOL,Brody Mihocek,COL,FWD,366000,16,68.1,70.17,2.79,94.12,71.67,0.17,0
Tim MembreySTK,Tim Membrey,STK,FWD,363700,16,67.7,82.67,3.5,94.12,80.83,0.17,0
Bayley FritschMEL,Bayley Fritsch,MEL,FWD,359300,16,66.9,76.79,3.71,94.12,79.6,0,0
Elliott HimmelbergADE,Elliott Himmelberg,ADE,FWD,358000,11,66.6,71,3.41,64.71,83.8,0.09,0
Brent DanielsGWS,Brent Daniels,GWS,FWD,356600,16,66.4,66.38,4.06,94.12,69.75,0,0
Harry HimmelbergGWS,Harry Himmelberg,GWS,FWD,355300,16,66.1,66.1,0,0.9411764705882353,66.1,0,0
Shane McAdamADE,Shane McAdam,ADE,FWD,354600,13,66,66,3.32,76.47,85,0.08,0
Lincoln McCarthyBRI,Lincoln McCarthy,BRI,FWD,354600,15,66,68.71,3.47,88.24,70.4,0.18,0
Jaidyn StephensonNME,Jaidyn Stephenson,NME,FWD,354100,12,65.9,80.29,2.99,70.59,41.25,0,0
David ZaharakisESS,David Zaharakis,ESS,FWD,351400,10,65.4,93.68,4.7,58.82,65.4,0.1,0
Jack LonieSTK,Jack Lonie,STK,FWD,351200,11,65.4,65.23,3.45,64.71,56,0,0
Sam SimpsonGEE,Sam Simpson,GEE,FWD,350600,6,72.5,73.78,4.47,35.29,72.5,0.11,0
Levi CasboultCAR,Levi Casboult,CAR,FWD,349900,17,65.1,74.59,3.16,100,58.6,0.24,0
Callum L. BrownCOL,Callum L. Brown,COL,FWD,349600,14,65.1,65.1,0,0.8235294117647058,65.1,0,0
Jeremy FinlaysonGWS,Jeremy Finlayson,GWS,FWD,346700,15,64.5,79.4,2.75,88.24,67,0.07,0
Josh J. KennedyWCE,Josh J. Kennedy,WCE,FWD,346200,16,64.4,64.4,0,0.9411764705882353,64.4,0,0
Jack RiewoldtRIC,Jack Riewoldt,RIC,FWD,344500,17,64.1,96.88,2.84,100,66.22,0.05,0
Daniel RioliRIC,Daniel Rioli,RIC,FWD,341500,14,63.6,65.83,3.75,82.35,74.38,0,0
Jason CastagnaRIC,Jason Castagna,RIC,FWD,341000,17,63.5,66.27,3.91,100,64.78,0.05,0
David CuninghamCAR,David Cuningham,CAR,FWD,340700,12,63.4,66.44,4.09,70.59,63.4,0.17,0
Cameron ZurhaarNME,Cameron Zurhaar,NME,FWD,337800,16,62.9,65.81,3.25,94.12,53,0.06,0
Will Hoskin-ElliottCOL,Will Hoskin-Elliott,COL,FWD,337500,16,62.8,80.29,3.44,94.12,66.5,0,0
Jake RiccardiGWS,Jake Riccardi,GWS,FWD,336500,5,69.6,69.6,3.48,29.41,52,0,0
Dean KentSTK,Dean Kent,STK,FWD,335200,13,62.4,63.69,3.24,76.47,41.33,0.13,0
Daniel McStayBRI,Daniel McStay,BRI,FWD,333800,15,62.1,60.57,2.65,88.24,51.17,0.06,0
Nick HindESS,Nick Hind,ESS,FWD,331000,10,61.6,61.6,0,0.5882352941176471,61.6,0,0
Daniel LloydGWS,Daniel Lloyd,GWS,FWD,330900,12,61.6,63.5,3.43,70.59,75.67,0.08,0
Alex SextonGCS,Alex Sexton,GCS,FWD,330000,14,61.4,65.44,3.28,82.35,71.67,0.07,0
Aaron NaughtonWBD,Aaron Naughton,WBD,FWD,329700,11,61.4,66.64,2.26,64.71,61.4,0.17,0
Jake AartsRIC,Jake Aarts,RIC,FWD,329400,13,61.3,60.64,3.32,76.47,62.17,0,0
Lachlan MurphyADE,Lachlan Murphy,ADE,FWD,328600,12,61.2,61.17,3.27,70.59,63,0,0
Nick HolmanGCS,Nick Holman,GCS,FWD,328600,12,61.2,67.25,3.53,70.59,61.2,0.08,0
Sam ReidSYD,Sam Reid,SYD,FWD,328300,10,61.1,104,2.87,58.82,61.2,0,0
Max KingSTK,Max King,STK,FWD,327400,16,60.9,61.11,2.6,94.12,56,0,0
Will HaywardSYD,Will Hayward,SYD,FWD,327100,16,60.9,60.88,3.44,94.12,63.2,0.06,0
Jake WatermanWCE,Jake Waterman,WCE,FWD,323600,9,60.2,59.6,3.6,52.94,42,0,0
Tom McDonaldMEL,Tom McDonald,MEL,FWD,323000,9,60.1,95.79,2.89,52.94,60.1,0.11,0
Harry McKayCAR,Harry McKay,CAR,FWD,319900,13,59.5,67.53,2.65,76.47,77,0,0
Lachie FogartyCAR,Lachie Fogarty,CAR,FWD,319100,6,66,66,4.35,35.29,51,0.17,0
Mitch GeorgiadesPOR,Mitch Georgiades,POR,FWD,317000,7,59,59,0,0.4117647058823529,59,0,0
Hayden McLeanSYD,Hayden McLean,SYD,FWD,317000,6,59,61,2.16,35.29,59,0.17,0
Sam WicksSYD,Sam Wicks,SYD,FWD,316200,7,58.9,58.86,2.83,41.18,59.75,0,0
Curtis TaylorNME,Curtis Taylor,NME,FWD,315800,9,58.8,58.78,3.41,52.94,58.8,0.11,0
Harry SchoenbergADE,Harry Schoenberg,ADE,FWD,315600,8,58.8,58.75,4.16,47.06,64.4,0,0
Tom McCartinSYD,Tom McCartin,SYD,FWD,312800,14,58.2,58.21,2.9,82.35,62.4,0,0
Luke JacksonMEL,Luke Jackson,MEL,FWD,312500,6,58.2,58.17,2.92,35.29,58.2,0,0
Mason CoxCOL,Mason Cox,COL,FWD,312200,9,58.1,63,1.99,52.94,65.5,0,0
Lance FranklinSYD,Lance Franklin,SYD,FWD,312000,0,0,100.86,0,0,0,0,0
Jesse HoganGWS,Jesse Hogan,GWS,FWD,310800,7,57.9,57.9,0,0.4117647058823529,57.9,0,0
Brendon Ah CheeWCE,Brendon Ah Chee,WCE,FWD,310200,15,57.7,70,3.38,88.24,54,0,0
Alex Neal-BullenMEL,Alex Neal-Bullen,MEL,FWD,310100,7,57.7,77.67,3.04,41.18,61.5,0,0
Eddie BettsCAR,Eddie Betts,CAR,FWD,308800,15,57.5,83.52,3.15,88.24,46,0.07,0
Steven MotlopPOR,Steven Motlop,POR,FWD,308500,12,57.4,70.71,3.42,70.59,78,0.14,0
Jayden LaverdeESS,Jayden Laverde,ESS,FWD,308000,6,57.3,65,2.54,35.29,57.3,0,0
Darcy MacPhersonGCS,Darcy MacPherson,GCS,FWD,306700,12,57.1,81.92,4,70.59,57.1,0.08,0
Josh ThomasCOL,Josh Thomas,COL,FWD,305800,12,56.9,79.48,3.36,70.59,58.57,0,0
Tyson StengleADE,Tyson Stengle,ADE,FWD,305300,12,56.8,62,3.45,70.59,67.25,0.08,0
Sam WeidemanMEL,Sam Weideman,MEL,FWD,303800,13,56.5,58.82,2.59,76.47,44.33,0,0
Darcy CameronCOL,Darcy Cameron,COL,FWD,302900,8,56.4,52.7,2.41,47.06,36,0.1,0
Dylan MooreHAW,Dylan Moore,HAW,FWD,302300,3,70.3,70.33,4.23,17.65,70.3,0,0
Keidean ColemanBRI,Keidean Coleman,BRI,FWD,299800,4,62,53,3.01,23.53,38,0,0
Ben KingGCS,Ben King,GCS,FWD,298700,17,55.6,55.59,2.49,100,49.6,0.06,0
Bailey DaleWBD,Bailey Dale,WBD,FWD,298500,9,55.6,68.39,2.98,52.94,55.6,0,0
Sam DayGCS,Sam Day,GCS,FWD,298300,17,55.5,68.1,3.03,100,49.8,0.06,0
Taylor WalkerADE,Taylor Walker,ADE,FWD,298200,14,55.5,100,2.65,82.35,51.5,0.07,0
Charlie SpargoMEL,Charlie Spargo,MEL,FWD,298200,8,55.5,58.55,2.74,47.06,56.5,0,0
Lachlan SchultzFRE,Lachlan Schultz,FRE,FWD,298000,17,55.5,55.5,0,1,55.5,0,0
Tim O'BrienHAW,Tim O'Brien,HAW,FWD,297500,16,55.4,72.33,2.3,94.12,65.8,0,0
Jake MelkshamMEL,Jake Melksham,MEL,FWD,296800,17,55.2,71.13,3.17,100,49.5,0,0
Willie RioliWCE,Willie Rioli,WCE,FWD,296600,0,0,69.12,0,0,0,0,0
Mitch CrowdenFRE,Mitch Crowden,FRE,FWD,295500,10,55,62.8,2.8,58.82,54.8,0,0
James StewartESS,James Stewart,ESS,FWD,295000,10,54.9,67.45,2.48,58.82,60.17,0,0
Charlie CurnowCAR,Charlie Curnow,CAR,FWD,294600,0,0,75.64,0,0,0,0,0
Tom AtkinsGEE,Tom Atkins,GEE,FWD,293500,11,54.6,64.12,3.14,64.71,73.4,0,0
Peter WrightESS,Peter Wright,ESS,FWD,292300,0,0,0,0,0,0,0,0
Tarryn ThomasNME,Tarryn Thomas,NME,FWD,290100,6,54,62.09,2.61,35.29,54,0,0
Bailey BanfieldFRE,Bailey Banfield,FRE,FWD,288200,5,59.6,62.27,3.13,29.41,59.6,0,0
Bobby HillGWS,Bobby Hill,GWS,FWD,287200,5,59.4,59.4,2.88,29.41,53,0.2,0
Darcy FogartyADE,Darcy Fogarty,ADE,FWD,286400,10,53.3,65.25,2.58,58.82,56.5,0,0
Billy FramptonADE,Billy Frampton,ADE,FWD,286100,5,53.2,53.2,2.83,29.41,53.2,0,0
Mitch McGovernCAR,Mitch McGovern,CAR,FWD,283900,12,52.8,52.83,2.61,70.59,45,0,0
Mitch HannanWBD,Mitch Hannan,WBD,FWD,283600,9,52.8,58.27,2.7,52.94,52.8,0,0
Jake StringerESS,Jake Stringer,ESS,FWD,282600,10,52.6,71.64,2.41,58.82,47,0,0
Mitch BrownMEL,Mitch Brown,MEL,FWD,280500,5,52.2,52.2,3.84,29.41,80,0,0
Sam SwitkowskiFRE,Sam Switkowski,FRE,FWD,279400,0,0,74.5,0,0,0,0,0
Rhylee WestWBD,Rhylee West,WBD,FWD,278000,4,57.5,59,3.87,23.53,57.5,0,0
Sam GraySYD,Sam Gray,SYD,FWD,276300,7,51.4,51.43,3.66,41.18,51.4,0,0
Travis ColyerFRE,Travis Colyer,FRE,FWD,275800,9,51.3,53.8,2.96,52.94,51.3,0,0
Ben RonkeSYD,Ben Ronke,SYD,FWD,275600,3,57,62.2,3.3,17.65,57,0,0
Josh BruceWBD,Josh Bruce,WBD,FWD,275000,16,51.2,51.18,2.58,94.12,59.75,0.06,0
Josh CorbettGCS,Josh Corbett,GCS,FWD,273200,7,50.9,50.86,3.1,41.18,55,0,0
Jack MahonyNME,Jack Mahony,NME,FWD,271900,10,50.6,50.6,2.8,58.82,39,0,0
Taylor GarnerNME,Taylor Garner,NME,FWD,267400,2,45,67.6,3.5,11.76,45,0,0
James BellSYD,James Bell,SYD,FWD,267300,8,49.8,49.75,2.95,47.06,37,0,0
Tristan XerriNME,Tristan Xerri,NME,FWD,265900,4,49.5,49.5,1.58,23.53,49.5,0,0
Lewis TaylorSYD,Lewis Taylor,SYD,FWD,265600,9,49.4,49.44,2.96,52.94,49.4,0,0
Sam SturtFRE,Sam Sturt,FRE,FWD,265100,3,61.7,61.67,2.56,17.65,61.7,0,0
Irving MosquitoESS,Irving Mosquito,ESS,FWD,264700,4,54.8,54.75,2.65,23.53,24,0,0
Nick LarkeyNME,Nick Larkey,NME,FWD,263800,10,49.1,60.42,2.07,58.82,42.5,0,0
Boyd WoodcockPOR,Boyd Woodcock,POR,FWD,261100,5,54,54,3.37,29.41,14,0,0
Kayne TurnerNME,Kayne Turner,NME,FWD,260800,0,0,64.33,0,0,0,0,0
Ben BrownMEL,Ben Brown,MEL,FWD,260300,9,48.4,82.38,2.3,52.94,48.4,0,0
Jack ZiebellNME,Jack Ziebell,NME,FWD,257900,8,48,95.22,2.62,47.06,48,0,0
Jack SilvagniCAR,Jack Silvagni,CAR,FWD,257400,3,35.3,57.63,1.9,17.65,35.3,0,0
Bradley CloseGEE,Bradley Close,GEE,FWD,257200,8,53.2,53.25,2.82,47.06,49.33,0,0
Kysaiah PickettMEL,Kysaiah Pickett,MEL,FWD,256400,14,47.7,47.71,2.63,82.35,47.5,0,0
Sean LemmensGCS,Sean Lemmens,GCS,FWD,253400,6,47.2,51.45,2.8,35.29,-3,0,0
