helper2,Name,Team,Position,Price,2020_Games,2020_Average,talent,opportunity,durability,form,consistency,manual_weight
Shaun McKernanSTK,Shaun McKernan,STK,FWD,245900,9,45.8,83.67,2.65,52.94,45.8,0,0
Jacob TownsendGCS,Jacob Townsend,GCS,FWD,238200,12,44.3,44.33,2.07,70.59,36,0,0
Oliver HanrahanHAW,Oliver Hanrahan,HAW,FWD,237200,7,44.1,52.44,3.4,41.18,44.1,0,0
Thomas BerryBRI,Thomas Berry,BRI,FWD,235500,6,43.8,43.8,0,0.35294117647058826,43.8,0,0
Joe DaniherBRI,Joe Daniher,BRI,FWD,233300,4,48.2,85.36,3.14,23.53,34,0.25,0
Zac LangdonWCE,Zac Langdon,WCE,FWD,224900,7,41.9,41.9,0,0.4117647058823529,41.9,0,0
Jack PetruccelleWCE,Jack Petruccelle,WCE,FWD,217100,5,40.4,50.95,2.44,29.41,40.4,0,0
Josh SchacheWBD,Josh Schache,WBD,FWD,214400,2,39,56.86,2.1,11.76,39,0,0
Ned McHenryADE,Ned McHenry,ADE,FWD,212900,8,39.6,39.62,3.27,47.06,39.6,0,0
Jarman ImpeyHAW,Jarman Impey,HAW,FWD,212800,5,39.6,74.12,2.92,29.41,38,0,0
Jamarra Ugle-HaganWBD,Jamarra Ugle-Hagan,WBD,FWD,207300,0,0,0,0,0,0,0,0
Trey RuscoeCOL,Trey Ruscoe,COL,FWD,206800,4,38.5,38.5,1.83,23.53,38,0,0
Mitch LewisHAW,Mitch Lewis,HAW,FWD,199500,8,37.1,67.58,1.83,47.06,76,0,0
Ben CavarraWBD,Ben Cavarra,WBD,FWD,194900,3,45.3,45.33,2.69,17.65,45.3,0,0
Logan McDonaldSYD,Logan McDonald,SYD,FWD,193800,0,0,0,0,0,0,0,0
Conor NashHAW,Conor Nash,HAW,FWD,193400,2,40,50,2.54,11.76,40,0,0
Sam FlandersGCS,Sam Flanders,GCS,FWD,192300,5,35.8,35.8,2.17,29.41,27,0,0
Ben DavisADE,Ben Davis,ADE,FWD,191800,1,51,51,1.77,5.88,51,0,0
Jonathon PattonHAW,Jonathon Patton,HAW,FWD,189800,6,35.3,35.33,1.53,35.29,35.3,0,0
Liam HenryFRE,Liam Henry,FRE,FWD,184500,3,34.3,34.33,2.45,17.65,34.3,0,0
Jy FarrarGCS,Jy Farrar,GCS,FWD,184300,1,49,49,2.1,5.88,49,0,0
Jamaine JonesWCE,Jamaine Jones,WCE,FWD,182400,2,48.5,48.5,3.67,11.76,48.5,0,0
Daniel VenablesWCE,Daniel Venables,WCE,FWD,179900,0,0,49,0,0,0,0,0
Minairo FrederickFRE,Minairo Frederick,FRE,FWD,175700,10,32.7,32.7,0,0.5882352941176471,32.7,0,0
Atu BosenavulagiNME,Atu Bosenavulagi,NME,FWD,175500,3,32.7,32.7,0,0.17647058823529413,32.7,0,0
Cody WeightmanWBD,Cody Weightman,WBD,FWD,173700,3,32.3,32.33,1.94,17.65,32.3,0,0
Sam PhilpCAR,Sam Philp,CAR,FWD,171100,2,45.5,45.5,2.49,11.76,45.5,0,0
Jayden HuntMEL,Jayden Hunt,MEL,FWD,163300,6,49,68.38,1.97,35.29,49,0,0
Ned CahillESS,Ned Cahill,ESS,FWD,161200,3,30,30,1.87,17.65,30,0,0
Kade ChandlerMEL,Kade Chandler,MEL,FWD,161200,0,0,60,0,0,0,0,0
Jarrod CameronWCE,Jarrod Cameron,WCE,FWD,153700,5,28.6,57,1.68,29.41,28.6,0,0
Connor BallendenBRI,Connor Ballenden,BRI,FWD,146100,2,34,34,1.61,11.76,34,0,0
Josh MorrisHAW,Josh Morris,HAW,FWD,145100,4,27,27,1.83,23.53,27,0,0
Conor StoneGWS,Conor Stone,GWS,FWD,144300,0,0,0,0,0,0,0,0
Chad WarnerSYD,Chad Warner,SYD,FWD,144000,2,33.5,33.5,2.39,11.76,33.5,0,0
Toby BedfordMEL,Toby Bedford,MEL,FWD,137000,2,25.5,25.5,2.7,11.76,25.5,0,0
Will KellyCOL,Will Kelly,COL,FWD,135400,1,36,36,1.59,5.88,36,0,0
Oliver HenryCOL,Oliver Henry,COL,FWD,135300,0,0,0,0,0,0,0,0
Harrison JonesESS,Harrison Jones,ESS,FWD,123900,0,0,0,0,0,0,0,0
Matthew OwiesCAR,Matthew Owies,CAR,FWD,123900,1,15,15,1.78,5.88,15,0,0
Connor McFadyenBRI,Connor McFadyen,BRI,FWD,123900,0,0,0,0,0,0,0,0
Anton TohillCOL,Anton Tohill,COL,FWD,123900,0,0,0,0,0,0,0,0
Tom WilsonCOL,Tom Wilson,COL,FWD,123900,0,0,0,0,0,0,0,0
Oscar BrownlessGEE,Oscar Brownless,GEE,FWD,123900,0,0,0,0,0,0,0,0
Francis EvansGEE,Francis Evans,GEE,FWD,123900,0,0,0,0,0,0,0,0
Nathan KreugerGEE,Nathan Kreuger,GEE,FWD,123900,0,0,0,0,0,0,0,0
Cameron TahenyGEE,Cameron Taheny,GEE,FWD,123900,0,0,0,0,0,0,0,0
Patrick MurtaghGCS,Patrick Murtagh,GCS,FWD,123900,0,0,0,0,0,0,0,0
Malcolm RosasGCS,Malcolm Rosas,GCS,FWD,123900,0,0,0,0,0,0,0,0
Zach SprouleGWS,Zach Sproule,GWS,FWD,123900,0,0,26,0,0,0,0,0
Emerson JekaHAW,Emerson Jeka,HAW,FWD,123900,0,0,0,0,0,0,0,0
Miles BergmanPOR,Miles Bergman,POR,FWD,123900,0,0,0,0,0,0,0,0
James RoweADE,James Rowe,ADE,FWD,117300,0,0,0,0,0,0,0,0
Beau McCreeryCOL,Beau McCreery,COL,FWD,117300,0,0,0,0,0,0,0,0
Liam McMahonCOL,Liam McMahon,COL,FWD,117300,0,0,0,0,0,0,0,0
Seamus MitchellHAW,Seamus Mitchell,HAW,FWD,117300,0,0,0,0,0,0,0,0
Eddie FordNME,Eddie Ford,NME,FWD,117300,0,0,0,0,0,0,0,0
Ollie LordPOR,Ollie Lord,POR,FWD,117300,0,0,0,0,0,0,0,0
Matthew AllisonSTK,Matthew Allison,STK,FWD,117300,0,0,0,0,0,0,0,0
Dominic BedendoWBD,Dominic Bedendo,WBD,FWD,117300,0,0,0,0,0,0,0,0
Blake ColemanBRI,Blake Coleman,BRI,FWD,117200,0,0,0,0,0,0,0,0
Marc SheatherSYD,Marc Sheather,SYD,FWD,102400,0,0,0,0,0,0,0,0
Lachie NealeBRI,Lachie Neale,BRI,MID,721800,17,134.4,133.74,9.62,100,112.86,0.79,0
Jack SteeleSTK,Jack Steele,STK,MID,658000,17,122.5,120.58,7.51,100,129.86,0.74,0
Clayton OliverMEL,Clayton Oliver,MEL,MID,656700,17,122.2,122.24,8.43,100,109.5,0.76,0
Jack MacraeWBD,Jack Macrae,WBD,MID,650100,17,121,125.57,8.52,100,97.6,0.67,0
Christian PetraccaMEL,Christian Petracca,MEL,MID,631400,17,117.5,117.53,7.94,100,107.67,0.76,0
Marcus BontempelliWBD,Marcus Bontempelli,WBD,MID,623900,17,116.1,115.68,6.74,100,112.8,0.61,0
Zach MerrettESS,Zach Merrett,ESS,MID,620900,16,115.6,115.56,8.68,94.12,127,0.69,0
Lachie HunterWBD,Lachie Hunter,WBD,MID,618500,9,115.1,111.9,8.16,52.94,115.75,0.6,0
Josh KellyGWS,Josh Kelly,GWS,MID,615600,14,114.6,114.57,7.39,82.35,107,0.71,0
Tom MitchellHAW,Tom Mitchell,HAW,MID,610000,17,113.5,129.04,8.01,100,107.4,0.65,0
Nat FyfeFRE,Nat Fyfe,FRE,MID,608300,14,113.2,122.25,7.12,82.35,112.4,0.64,0
Jarryd LyonsBRI,Jarryd Lyons,BRI,MID,604600,17,112.5,110.58,7.74,100,98.71,0.74,0
Matt CrouchADE,Matt Crouch,ADE,MID,594700,16,110.7,113.56,9.25,94.12,128.8,0.69,0
Scott PendleburyCOL,Scott Pendlebury,COL,MID,592200,13,110.2,130.19,7.47,76.47,102.6,0.47,0
Travis BoakPOR,Travis Boak,POR,MID,590400,17,109.9,109.38,7.43,100,112.5,0.58,0
Taylor AdamsCOL,Taylor Adams,COL,MID,588800,17,109.6,110.63,7.19,100,106.43,0.79,0
Adam TreloarWBD,Adam Treloar,WBD,MID,587600,8,109.4,113.23,8.54,47.06,86,0.6,0
Sam MenegolaGEE,Sam Menegola,GEE,MID,579000,17,107.8,106.71,6.83,100,110.33,0.71,0
Tom RockliffPOR,Tom Rockliff,POR,MID,573000,14,106.6,107.12,7.39,82.35,122.67,0.62,0
Luke ParkerSYD,Luke Parker,SYD,MID,571100,17,106.3,109.8,7.57,100,109.8,0.71,0
Andrew GaffWCE,Andrew Gaff,WCE,MID,570800,17,106.2,110.19,8.48,100,114.83,0.61,0
Tom LiberatoreWBD,Tom Liberatore,WBD,MID,569900,15,106.1,110.38,6.7,88.24,115.8,0.56,0
Touk MillerGCS,Touk Miller,GCS,MID,569200,17,105.9,105.94,7.01,100,102.4,0.65,0
Hugh GreenwoodGCS,Hugh Greenwood,GCS,MID,567300,17,105.6,105.59,6.22,100,111.8,0.53,0
Jed AndersonNME,Jed Anderson,NME,MID,562300,15,104.7,104.67,7,88.24,118.4,0.53,0
Ollie WinesPOR,Ollie Wines,POR,MID,560600,15,104.3,104.24,7.07,88.24,107.67,0.53,0
Mitch DuncanGEE,Mitch Duncan,GEE,MID,556700,16,103.6,112.38,6.56,94.12,110.56,0.75,0
Cameron GuthrieGEE,Cameron Guthrie,GEE,MID,554700,17,103.2,103.43,6.87,100,109.11,0.57,0
Dylan ShielESS,Dylan Shiel,ESS,MID,548000,15,102,102,7.65,88.24,97.17,0.47,0
Hugh McCluggageBRI,Hugh McCluggage,BRI,MID,545500,17,101.5,103.16,6.68,100,105.43,0.53,0
Andrew BrayshawFRE,Andrew Brayshaw,FRE,MID,544200,17,101.3,100.71,6.63,100,91.8,0.53,0
Trent DumontNME,Trent Dumont,NME,MID,543300,17,101.2,101.24,6.7,100,89.4,0.35,0
Sam WalshCAR,Sam Walsh,CAR,MID,543300,17,101.1,101.12,7.3,100,121.8,0.47,0
Jack VineyMEL,Jack Viney,MEL,MID,534900,16,99.6,99.56,6.7,94.12,90.6,0.38,0
Stephen ConiglioGWS,Stephen Coniglio,GWS,MID,528900,16,98.4,111.88,7.06,94.12,95.25,0.56,0
Patrick CrippsCAR,Patrick Cripps,CAR,MID,523700,17,97.5,118.58,6.99,100,81.6,0.47,0
Jarrod BerryBRI,Jarrod Berry,BRI,MID,521500,15,97.1,90.76,5.7,88.24,81.8,0.35,0
Tim KellyWCE,Tim Kelly,WCE,MID,517400,17,96.3,95.72,7.01,100,100,0.39,0
Jack BillingsSTK,Jack Billings,STK,MID,514800,17,95.8,93.42,6.35,100,80.29,0.32,0
Josh P. KennedySYD,Josh P. Kennedy,SYD,MID,513500,12,95.6,121.33,7.06,70.59,105,0.42,0
Ed CurnowCAR,Ed Curnow,CAR,MID,512600,17,95.4,101.65,6.69,100,93.8,0.35,0
Shaun HigginsGEE,Shaun Higgins,GEE,MID,510400,17,95,103.2,7.12,100,81,0.41,0
Andrew McGrathESS,Andrew McGrath,ESS,MID,510000,14,94.9,94.93,7.32,82.35,78.67,0.43,0
Luke ShueyWCE,Luke Shuey,WCE,MID,508600,12,94.7,106.32,6.61,70.59,82.67,0.54,0
Harry PerrymanGWS,Harry Perryman,GWS,MID,505000,16,94,94,6.16,94.12,98.75,0.5,0
David MundyFRE,David Mundy,FRE,MID,502000,16,93.4,111.4,6.06,94.12,104,0.44,0
Jy SimpkinNME,Jy Simpkin,NME,MID,499700,17,93,93,6.74,100,86.6,0.53,0
Matt RowellGCS,Matt Rowell,GCS,MID,495100,5,102.4,102.4,0,0.29411764705882354,102.4,0,0
Zak JonesSTK,Zak Jones,STK,MID,494700,14,92.1,88.25,6.5,82.35,81,0.38,0
Bailey SmithWBD,Bailey Smith,WBD,MID,494600,17,92.1,91.89,6.85,100,88.6,0.5,0
Jacob HopperGWS,Jacob Hopper,GWS,MID,488600,17,90.9,96.2,6.44,100,97.8,0.29,0
Jaeger O'MearaHAW,Jaeger O'Meara,HAW,MID,488000,12,90.8,94,6.62,70.59,92,0.42,0
Ed LangdonMEL,Ed Langdon,MEL,MID,487300,17,90.7,90.71,6.77,100,93.33,0.24,0
Adam CerraFRE,Adam Cerra,FRE,MID,484800,17,90.2,89.76,5.79,100,100.6,0.29,0
Elliot YeoWCE,Elliot Yeo,WCE,MID,483000,10,89.9,107.52,6.71,58.82,89.9,0.5,0
Will SetterfieldCAR,Will Setterfield,CAR,MID,481900,16,89.7,89.69,5.42,94.12,100.75,0.38,0
Dom SheedWCE,Dom Sheed,WCE,MID,478500,16,89.1,91.96,6.9,94.12,71.8,0.29,0
Jared PolecNME,Jared Polec,NME,MID,477800,13,88.9,88.92,6.41,76.47,94.5,0.23,0
James WorpelHAW,James Worpel,HAW,MID,474200,15,88.3,98.71,6.08,88.24,84,0.2,0
Rory SloaneADE,Rory Sloane,ADE,MID,471900,12,87.8,115.83,5.6,70.59,86.33,0.17,0
Darcy ParishESS,Darcy Parish,ESS,MID,465800,17,86.7,86.71,6.34,100,92.5,0.18,0
Devon SmithESS,Devon Smith,ESS,MID,458000,16,85.2,98.33,6.01,94.12,94.2,0.31,0
Brandan ParfittGEE,Brandan Parfitt,GEE,MID,455100,14,84.7,84.44,4.99,82.35,82.62,0.17,0
Tim TarantoGWS,Tim Taranto,GWS,MID,453700,11,84.5,103.57,6.46,64.71,77.8,0.27,0
Blake AcresFRE,Blake Acres,FRE,MID,453600,7,84.4,84.43,6.38,41.18,69,0.43,0
Brandon EllisGCS,Brandon Ellis,GCS,MID,450600,16,83.9,83.88,6.42,94.12,78.8,0.19,0
Brad CrouchSTK,Brad Crouch,STK,MID,448600,12,83.5,101.09,7.79,70.59,80,0.33,0
Dion PrestiaRIC,Dion Prestia,RIC,MID,446800,5,92.4,104.85,6.74,29.41,83,0.11,0
Jack GrahamRIC,Jack Graham,RIC,MID,446400,12,83.1,82.12,5.19,70.59,85.29,0.31,0
Joel SelwoodGEE,Joel Selwood,GEE,MID,445000,11,82.8,123.08,5.54,64.71,96.2,0.33,0
Marc MurphyCAR,Marc Murphy,CAR,MID,444700,17,82.8,120.27,6.55,100,76.6,0.24,0
Trent CotchinRIC,Trent Cotchin,RIC,MID,443500,13,82.5,118.29,6.3,76.47,75.5,0.24,0
Josh DaicosCOL,Josh Daicos,COL,MID,442200,16,82.3,80.22,5.5,94.12,83.57,0.22,0
Ben CunningtonNME,Ben Cunnington,NME,MID,439800,3,102.3,102.33,5.89,17.65,102.3,0,0
David SwallowGCS,David Swallow,GCS,MID,438400,15,81.6,102.08,6.31,88.24,87.75,0.13,0
Jade GreshamSTK,Jade Gresham,STK,MID,438100,11,81.5,84.9,6.03,64.71,81.5,0.27,0
Lachie WellerGCS,Lachie Weller,GCS,MID,436500,17,81.2,87.32,5.92,100,79.6,0.29,0
Ben KeaysADE,Ben Keays,ADE,MID,436200,16,81.2,81.19,5.86,94.12,85.2,0.25,0
Caleb SerongFRE,Caleb Serong,FRE,MID,435600,14,81.1,80.79,5.62,82.35,88.8,0.21,0
Angus BrayshawMEL,Angus Brayshaw,MEL,MID,435200,14,81,97.79,5.61,82.35,78.33,0.21,0
Luke Davies-UniackeNME,Luke Davies-Uniacke,NME,MID,432800,9,80.6,80.56,5.78,52.94,86.25,0.11,0
Karl AmonPOR,Karl Amon,POR,MID,431400,17,80.3,79.26,5.22,100,77.5,0.11,0
Paul SeedsmanADE,Paul Seedsman,ADE,MID,429800,9,80,81.05,5.66,52.94,80,0.33,0
Patrick LipinskiWBD,Patrick Lipinski,WBD,MID,429800,12,80,79.5,5.24,70.59,64.5,0,0
Jack SinclairSTK,Jack Sinclair,STK,MID,426600,10,79.4,82.21,4.84,58.82,78.29,0.08,0
Liam ShielsHAW,Liam Shiels,HAW,MID,420100,16,78.2,93.71,5.68,94.12,76,0.25,0
Mitch RobinsonBRI,Mitch Robinson,BRI,MID,418800,17,77.9,96.67,4.91,100,72.14,0.11,0
Sebastian RossSTK,Sebastian Ross,STK,MID,417900,14,77.8,105.13,6.13,82.35,86.4,0.19,0
Shane EdwardsRIC,Shane Edwards,RIC,MID,416700,6,86.2,89.04,5.93,35.29,69.5,0.3,0
James CousinsHAW,James Cousins,HAW,MID,412600,6,85.3,85.33,6.19,35.29,88,0.17,0
Noah AndersonGCS,Noah Anderson,GCS,MID,411500,17,76.6,76.59,5.79,100,87.8,0.18,0
Callan WardGWS,Callan Ward,GWS,MID,409900,7,76.3,110.55,4.98,41.18,76.3,0.14,0
Oliver FlorentSYD,Oliver Florent,SYD,MID,408300,17,76,76,5.61,100,60.6,0.18,0
Ryan ClarkeSYD,Ryan Clarke,SYD,MID,407800,10,75.9,75.9,5.64,58.82,71,0.1,0
James RowbottomSYD,James Rowbottom,SYD,MID,405600,16,75.5,75.5,5.06,94.12,63.25,0.12,0
Zach TuohyGEE,Zach Tuohy,GEE,MID,405100,15,75.4,90.11,5.36,88.24,69.71,0.11,0
James AishFRE,James Aish,FRE,MID,404600,16,75.3,74.94,5.52,94.12,73,0.19,0
Xavier DuursmaPOR,Xavier Duursma,POR,MID,398400,13,74.2,76.86,4.25,76.47,77.8,0.13,0
Luke DunstanSTK,Luke Dunstan,STK,MID,395400,1,92,94,7.18,5.88,92,0,0
Marlion PickettRIC,Marlion Pickett,RIC,MID,386500,15,71.9,96,4.21,88.24,62.67,0.11,0
Justin McInerneySYD,Justin McInerney,SYD,MID,384400,9,71.6,71.56,4.74,52.94,80.5,0.11,0
Kamdyn McIntoshRIC,Kamdyn McIntosh,RIC,MID,381500,14,71,79.83,4.67,82.35,71.56,0.17,0
Jack ReddenWCE,Jack Redden,WCE,MID,377900,12,70.3,99.85,5.48,70.59,65,0.15,0
George HewettSYD,George Hewett,SYD,MID,374700,6,77.5,84.54,4.72,35.29,77.5,0,0
Chris MayneCOL,Chris Mayne,COL,MID,373400,12,69.5,76.13,4.6,70.59,58,0.07,0
Tom CutlerESS,Tom Cutler,ESS,MID,364700,8,67.9,67.88,4.55,47.06,67.5,0,0
Bradley HillSTK,Bradley Hill,STK,MID,354000,17,65.9,62.74,5.27,100,69,0.05,0
Tom GreenGWS,Tom Green,GWS,MID,351400,6,72.7,72.67,5.08,35.29,72.7,0.17,0
Darcy TuckerFRE,Darcy Tucker,FRE,MID,347900,8,64.8,73.04,4.67,47.06,64.8,0,0
Dan HanneberySTK,Dan Hannebery,STK,MID,338500,6,70,96,6.07,35.29,70,0,0
Dylan StephensSYD,Dylan Stephens,SYD,MID,337800,8,62.9,62.88,4.27,47.06,72.5,0,0
Tom SparrowMEL,Tom Sparrow,MEL,MID,337200,5,62.8,62.8,3.78,29.41,33,0,0
Josh CaddyRIC,Josh Caddy,RIC,MID,335100,8,62.4,85.17,4.31,47.06,62.4,0,0
Jack RossRIC,Jack Ross,RIC,MID,333100,7,62,62.57,4.58,41.18,60,0,0
Mitchell HingeADE,Mitchell Hinge,ADE,MID,328800,1,102,102,0,0.058823529411764705,102,0,0
Dyson HeppellESS,Dyson Heppell,ESS,MID,319100,3,66,106.77,4.41,17.65,66,0,0
Brayden SierCOL,Brayden Sier,COL,MID,313800,3,73,77,5.5,17.65,73,0,0
Tyler BrownCOL,Tyler Brown,COL,MID,311000,9,57.9,57.89,3.7,52.94,71,0,0
Willem DrewPOR,Willem Drew,POR,MID,310800,0,0,72.3,0,0,0,0,0
Quinton NarkleGEE,Quinton Narkle,GEE,MID,310400,5,64.2,80,3.67,29.41,64.2,0.2,0
Jackson HatelyADE,Jackson Hately,ADE,MID,310300,6,64.2,64.17,4.58,35.29,64.2,0.17,0
Matt de BoerGWS,Matt de Boer,GWS,MID,303700,13,62.8,62.8,0,0.7647058823529411,62.8,0,0
Brayden FioriniGCS,Brayden Fiorini,GCS,MID,301700,5,62.4,87.13,4.56,29.41,62.4,0,0
Aaron vandenBergMEL,Aaron vandenBerg,MEL,MID,301300,12,56.1,56.1,0,0.7058823529411765,56.1,0,0
Adam KennedyGWS,Adam Kennedy,GWS,MID,300900,6,56,81.11,3.8,35.29,38.5,0,0
Connor BlakelyFRE,Connor Blakely,FRE,MID,295000,5,61,89.18,5,29.41,33,0,0
Oskar BakerMEL,Oskar Baker,MEL,MID,290100,3,60,60,4.61,17.65,60,0,0
Jack BytelSTK,Jack Bytel,STK,MID,280500,3,58,58,4.45,17.65,58,0,0
Brayden HamESS,Brayden Ham,ESS,MID,277800,10,51.7,51.7,3.27,58.82,71,0,0
Levi GreenwoodCOL,Levi Greenwood,COL,MID,276800,4,57.2,79.5,3.7,23.53,57.33,0,0
Charlie ConstableGEE,Charlie Constable,GEE,MID,266500,2,62,80,5.64,11.76,62,0,0
Matthew CottrellCAR,Matthew Cottrell,CAR,MID,262200,5,48.8,48.8,3.77,29.41,56.5,0,0
Will HayesWBD,Will Hayes,WBD,MID,249300,2,47.5,55,3.23,11.76,47.5,0,0
Rory AtkinsGCS,Rory Atkins,GCS,MID,244200,4,50.5,50.5,0,0.23529411764705882,50.5,0,0
Dom TysonNME,Dom Tyson,NME,MID,243900,0,0,69.33,0,0,0,0,0
Chayce JonesADE,Chayce Jones,ADE,MID,236800,15,44.1,50,2.88,88.24,32,0,0
Xavier O'HalloranGWS,Xavier O'Halloran,GWS,MID,227500,2,60.5,60.5,0,0.11764705882352941,60.5,0,0
Will PhillipsNME,Will Phillips,NME,MID,198300,0,0,0,0,0,0,0,0
Finn MaginnessHAW,Finn Maginness,HAW,MID,195600,1,52,52,3.18,5.88,52,0,0
Lochie O'BrienCAR,Lochie O'Brien,CAR,MID,180500,1,42,45.15,2.49,5.88,42,0,0
Patrick NaishRIC,Patrick Naish,RIC,MID,180500,1,42,72.5,3.1,5.88,42,0,0
Luke PedlarADE,Luke Pedlar,ADE,MID,162300,0,0,0,0,0,0,0,0
Tanner BruhnGWS,Tanner Bruhn,GWS,MID,157800,0,0,0,0,0,0,0,0
Tom PowellNME,Tom Powell,NME,MID,153300,0,0,0,0,0,0,0,0
Thomson DowRIC,Thomson Dow,RIC,MID,146100,2,34,34,2.76,11.76,34,0,0
Jeremy SharpGCS,Jeremy Sharp,GCS,MID,141800,2,33,33,3.33,11.76,33,0,0
Ryan AngwinGWS,Ryan Angwin,GWS,MID,130800,0,0,0,0,0,0,0,0
Ryan ByrnesSTK,Ryan Byrnes,STK,MID,123900,1,22,22,1.71,5.88,22,0,0
Ronin O'ConnorADE,Ronin O'Connor,ADE,MID,123900,0,0,0,0,0,0,0,0
Brodie KempCAR,Brodie Kemp,CAR,MID,123900,0,0,0,0,0,0,0,0
Sam RamsayCAR,Sam Ramsay,CAR,MID,123900,0,0,0,0,0,0,0,0
Jay RantallCOL,Jay Rantall,COL,MID,123900,0,0,0,0,0,0,0,0
Tom HirdESS,Tom Hird,ESS,MID,123900,0,0,0,0,0,0,0,0
Stefan GiroFRE,Stefan Giro,FRE,MID,123900,0,0,49.7,0,0,0,0,0
Luke ValenteFRE,Luke Valente,FRE,MID,123900,0,0,0,0,0,0,0,0
Cooper StephensGEE,Cooper Stephens,GEE,MID,123900,0,0,0,0,0,0,0,0
Nick ShipleyGWS,Nick Shipley,GWS,MID,123900,0,0,24,0,0,0,0,0
